죄종별,항목,단위,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,행정구역
총계,발생건수[건],건,368583.0,355991,356575.0,343104,320193,308997,309269,296178,257969,279507,서울특별시
강력범죄,발생건수[건],건,6279.0,6276,6204.0,6698,7499,6991,6993,6265,5344,6257,서울특별시
살인기수,발생건수[건],건,49.0,57,67.0,47,50,45,47,52,48,37,서울특별시
살인,발생건수[건],건,43.0,47,59.0,38,40,33,34,38,35,25,서울특별시
영아살해,발생건수[건],건,1.0,2,2.0,2,2,1,2,2,-,2,서울특별시
존속살해,발생건수[건],건,4.0,6,5.0,3,6,8,7,7,4,5,서울특별시
촉탁·승낙살인,발생건수[건],건,,2,,-,-,-,-,-,1,-,서울특별시
자살교사·방조,발생건수[건],건,1.0,,1.0,4,2,3,4,5,4,3,서울특별시
위계·위력·촉탁·승낙살인,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
특가법(보복살인등),발생건수[건],건,,,,-,-,-,-,-,3,1,서울특별시
아동학대처벌법(아동학대살해),발생건수[건],건,,,,,,,,,1,1,서울특별시
살인미수등,발생건수[건],건,103.0,101,96.0,101,92,98,89,89,77,68,서울특별시
살인,발생건수[건],건,98.0,95,89.0,94,89,85,82,81,66,67,서울특별시
영아살해,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
존속살해,발생건수[건],건,5.0,6,6.0,4,3,6,4,3,7,1,서울특별시
촉탁·승낙살인,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
자살교사·방조,발생건수[건],건,,,1.0,3,-,7,3,5,4,-,서울특별시
위계·위력·촉탁·승낙살인,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
강도,발생건수[건],건,421.0,343,276.0,262,169,143,136,139,122,118,서울특별시
강도,발생건수[건],건,84.0,69,49.0,41,27,32,25,15,20,22,서울특별시
준강도,발생건수[건],건,31.0,40,35.0,41,32,23,17,17,20,20,서울특별시
특수강도,발생건수[건],건,142.0,115,95.0,83,54,47,49,68,47,46,서울특별시
준특수강도,발생건수[건],건,1.0,,,-,-,-,-,-,-,2,서울특별시
강도상해·치상,발생건수[건],건,129.0,84,81.0,85,46,30,44,31,27,22,서울특별시
강도살인·치사,발생건수[건],건,7.0,4,9.0,5,6,3,-,4,4,4,서울특별시
해상강도(살인·치사·상해·치상),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
인질강도,발생건수[건],건,11.0,3,3.0,1,-,1,1,2,-,1,서울특별시
강도강간,발생건수[건],건,15.0,9,4.0,4,3,7,-,2,2,1,서울특별시
(특수·인질·해상)강도(상습),발생건수[건],건,,,,1,-,-,-,-,-,-,서울특별시
특가법(강도),발생건수[건],건,1.0,19,,1,1,-,-,-,-,-,서울특별시
특가법(강도상해재범),발생건수[건],건,,,,-,-,-,-,-,2,-,서울특별시
강간,발생건수[건],건,1199.0,1051,970.0,1131,1167,1171,1258,1294,1138,1203,서울특별시
강간,발생건수[건],건,534.0,424,397.0,494,486,507,542,539,484,535,서울특별시
강간(상습),발생건수[건],건,1.0,,,-,-,-,-,1,-,1,서울특별시
준강간,발생건수[건],건,279.0,248,245.0,317,350,354,413,406,321,356,서울특별시
준강간(상습),발생건수[건],건,1.0,,,-,-,3,2,-,-,1,서울특별시
강간상해·치상,발생건수[건],건,110.0,80,91.0,70,72,62,56,58,65,62,서울특별시
강간살인·치사,발생건수[건],건,,,,2,1,1,-,-,1,-,서울특별시
미성년자간음(심신미약자),발생건수[건],건,3.0,2,1.0,1,2,2,1,4,6,4,서울특별시
업무상위력에의한간음,발생건수[건],건,5.0,1,2.0,4,8,9,8,11,8,4,서울특별시
친족관계에의한강간,발생건수[건],건,26.0,19,18.0,16,12,16,16,13,16,11,서울특별시
장애인에대한강간·간음,발생건수[건],건,48.0,74,38.0,35,42,44,32,66,37,50,서울특별시
청소년에대한강간·간음,발생건수[건],건,97.0,120,79.0,101,109,95,92,89,74,70,서울특별시
미성년자의제강간,발생건수[건],건,1.0,4,5.0,4,4,10,10,31,47,60,서울특별시
13세미만미성년자강간·간음,발생건수[건],건,13.0,10,12.0,7,14,10,12,7,6,4,서울특별시
특수강간(준),발생건수[건],건,81.0,62,54.0,43,48,41,43,43,45,28,서울특별시
주거침입강간,발생건수[건],건,,6,20.0,30,16,11,26,25,18,14,서울특별시
절도강간,발생건수[건],건,,,,-,1,-,-,-,-,-,서울특별시
특수강도강간,발생건수[건],건,,1,8.0,7,2,6,5,1,4,-,서울특별시
아동학대처벌법위반(상습강간·간음),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
16세미만아동·청소년간음,발생건수[건],건,,,,,,,,,6,3,서울특별시
유사강간,발생건수[건],건,25.0,99,118.0,123,144,181,172,199,179,222,서울특별시
유사강간,발생건수[건],건,16.0,57,57.0,75,84,117,97,117,105,121,서울특별시
유사강간(상습),발생건수[건],건,,,1.0,-,-,-,-,-,-,-,서울특별시
준유사강간,발생건수[건],건,2.0,11,19.0,17,24,30,40,43,51,60,서울특별시
준유사강간(상습),발생건수[건],건,,,,-,-,-,-,-,1,-,서울특별시
유사강간상해·치상,발생건수[건],건,,3,4.0,2,8,14,3,9,4,10,서울특별시
유사강간살인·치사,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
미성년자의제유사강간,발생건수[건],건,,1,2.0,-,-,-,1,1,3,4,서울특별시
유사성행위,발생건수[건],건,7.0,26,32.0,24,27,17,27,27,13,24,서울특별시
주거침입유사강간,발생건수[건],건,,1,3.0,3,-,3,4,2,2,2,서울특별시
절도유사강간,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
특수강도유사강간,발생건수[건],건,,,,2,1,-,-,-,-,1,서울특별시
아동학대처벌법위반(상습유사강간),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
강제추행,발생건수[건],건,3910.0,4130,4268.0,4676,5592,5001,4987,4212,3554,4356,서울특별시
강제추행,발생건수[건],건,2400.0,2331,2349.0,2759,3272,3175,3285,3032,2349,2998,서울특별시
강제추행(상습),발생건수[건],건,1.0,2,4.0,1,7,5,2,11,8,4,서울특별시
준강제추행,발생건수[건],건,112.0,126,166.0,200,245,244,224,238,202,204,서울특별시
준강제추행(상습),발생건수[건],건,,1,,-,1,1,-,-,-,-,서울특별시
강제추행상해·치상,발생건수[건],건,45.0,50,33.0,25,37,31,38,31,25,31,서울특별시
강제추행살인·치사,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
업무상위력등에의한추행,발생건수[건],건,57.0,49,68.0,60,85,74,56,69,101,63,서울특별시
친족관계에의한강제추행,발생건수[건],건,39.0,39,31.0,30,38,29,23,32,31,34,서울특별시
장애인에대한강제추행·추행,발생건수[건],건,36.0,55,46.0,56,61,58,57,42,50,58,서울특별시
청소년에대한강제추행·추행,발생건수[건],건,296.0,278,228.0,217,266,206,180,129,127,135,서울특별시
미성년자추행(심신미약자),발생건수[건],건,1.0,1,,1,1,1,-,1,-,2,서울특별시
미성년자의제강제추행,발생건수[건],건,,,1.0,-,2,2,2,1,5,5,서울특별시
13세미만미성년자강제추행·추행,발생건수[건],건,80.0,129,144.0,139,139,140,126,88,62,87,서울특별시
공중밀집장소에서의추행,발생건수[건],건,828.0,1046,1154.0,1151,1410,995,951,500,555,697,서울특별시
특수강제추행(준),발생건수[건],건,15.0,9,7.0,10,6,3,9,5,7,4,서울특별시
주거침입강제추행,발생건수[건],건,,14,34.0,24,21,36,34,31,30,25,서울특별시
절도강제추행,발생건수[건],건,,,2.0,3,1,1,-,-,-,-,서울특별시
특수강도강제추행,발생건수[건],건,,,1.0,-,-,-,-,2,1,1,서울특별시
아동학대처벌법위반(상습강제추행·추행),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
16세미만아동·청소년추행,발생건수[건],건,,,,,,,,,1,8,서울특별시
기타 강간·강제추행 등,발생건수[건],건,255.0,181,94.0,72,60,59,52,58,40,36,서울특별시
강간등상해·치상,발생건수[건],건,41.0,36,27.0,17,21,21,24,14,21,13,서울특별시
강간등살인·치사,발생건수[건],건,,1,,1,-,1,-,1,-,-,서울특별시
친족관계에의한강간등,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
장애인에대한준강간등,발생건수[건],건,9.0,11,8.0,4,2,1,2,-,-,-,서울특별시
청소년에대한강간등,발생건수[건],건,95.0,44,24.0,27,23,17,12,26,12,21,서울특별시
미성년자의제강간등,발생건수[건],건,,,,-,-,-,-,-,,,서울특별시
13세미만미성년자강간등,발생건수[건],건,12.0,15,10.0,3,8,4,3,7,-,-,서울특별시
주거침입강간등,발생건수[건],건,60.0,50,13.0,10,4,11,9,8,3,2,서울특별시
절도강간등,발생건수[건],건,3.0,3,2.0,-,-,-,-,-,-,-,서울특별시
특수강도강간등,발생건수[건],건,33.0,21,10.0,10,2,4,2,2,4,-,서울특별시
성폭력범죄의처벌및피해자보호등에관한법률위반,발생건수[건],건,2.0,,,-,-,-,-,-,-,-,서울특별시
방화,발생건수[건],건,317.0,314,315.0,286,225,293,252,222,186,217,서울특별시
방화,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
현주·공용건조물등방화,발생건수[건],건,174.0,186,192.0,160,105,166,126,122,104,128,서울특별시
현주건조물등방화치상,발생건수[건],건,4.0,6,10.0,4,4,4,2,6,2,5,서울특별시
현주건조물등방화치사,발생건수[건],건,1.0,3,4.0,3,5,4,2,1,-,1,서울특별시
일반건조물등방화,발생건수[건],건,98.0,87,83.0,86,90,77,92,75,57,58,서울특별시
자기소유건조물등방화,발생건수[건],건,2.0,4,7.0,10,9,8,8,4,7,2,서울특별시
방화연소,발생건수[건],건,18.0,9,8.0,7,1,5,4,1,4,4,서울특별시
진화방해,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
폭발성물건파열(치사·상),발생건수[건],건,3.0,1,,1,1,-,-,-,2,-,서울특별시
폭발성물건파열(과실),발생건수[건],건,,3,5.0,1,4,1,1,2,5,8,서울특별시
가스등방출(치사·상),발생건수[건],건,1.0,1,,3,-,2,1,2,2,2,서울특별시
가스등방출(과실),발생건수[건],건,,3,,-,-,-,1,-,-,-,서울특별시
가스등공급사용방해(치사·상),발생건수[건],건,2.0,,2.0,1,2,6,5,2,1,5,서울특별시
가스등공급사용방해(과실),발생건수[건],건,,1,,1,-,-,-,3,-,3,서울특별시
자동차방화,발생건수[건],건,14.0,10,4.0,9,4,20,10,4,2,1,서울특별시
절도범죄,발생건수[건],건,61585.0,59391,55307.0,46857,41162,39175,42204,38293,33531,37579,서울특별시
절도,발생건수[건],건,55613.0,54271,50308.0,42618,37417,35843,38724,35248,31080,35256,서울특별시
절도(상습),발생건수[건],건,52.0,86,772.0,642,495,285,200,196,97,143,서울특별시
특수절도,발생건수[건],건,3418.0,2491,2806.0,2352,1977,1823,1894,1541,1164,1134,서울특별시
특수절도(상습),발생건수[건],건,,1,50.0,96,17,11,23,13,4,1,서울특별시
야간주거침입절도,발생건수[건],건,857.0,837,1091.0,1020,991,841,910,816,753,597,서울특별시
야간주거침입절도(상습),발생건수[건],건,,,29.0,20,16,3,6,10,3,5,서울특별시
불법사용,발생건수[건],건,23.0,30,39.0,62,56,56,82,99,62,77,서울특별시
불법사용(상습),발생건수[건],건,,,,-,-,-,1,-,1,-,서울특별시
특가법(절도),발생건수[건],건,1622.0,1675,212.0,47,193,313,364,370,367,366,서울특별시
특가법(단체등의조직),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
폭력범죄,발생건수[건],건,65457.0,65354,65269.0,64645,59449,56122,54762,48422,41834,46874,서울특별시
상해,발생건수[건],건,9035.0,7990,7178.0,6957,6028,5126,4603,3861,3155,3358,서울특별시
상해,발생건수[건],건,8954.0,7920,7070.0,6872,5913,5013,4502,3757,3048,3254,서울특별시
상해(중),발생건수[건],건,15.0,12,14.0,10,16,9,9,15,12,11,서울특별시
상해(상습),발생건수[건],건,,1,,1,8,9,2,1,6,3,서울특별시
상해(상습중),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
상해치사,발생건수[건],건,12.0,6,6.0,5,11,7,5,4,8,5,서울특별시
존속상해,발생건수[건],건,54.0,51,73.0,53,60,61,61,52,39,47,서울특별시
존속상해(중),발생건수[건],건,,,,-,-,-,-,1,-,-,서울특별시
존속상해(상습),발생건수[건],건,,,,-,1,1,-,2,-,2,서울특별시
존속상해(상습중),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
존속상해치사,발생건수[건],건,,,2.0,3,4,1,2,2,-,1,서울특별시
특가법(보복상해등),발생건수[건],건,,,11.0,8,6,8,5,6,5,5,서울특별시
아동학대처벌법위반(상습상해),발생건수[건],건,,,2.0,-,-,-,-,-,-,2,서울특별시
특수상해,발생건수[건],건,,,,1,1,7,9,10,16,15,서울특별시
특수상해(중),발생건수[건],건,,,,-,-,-,-,-,1,1,서울특별시
특수상해(상습),발생건수[건],건,,,,1,-,3,-,1,1,-,서울특별시
존속상해(특수·특수중),발생건수[건],건,,,,3,8,7,8,10,19,12,서울특별시
폭행,발생건수[건],건,35003.0,35970,36909.0,39350,36317,34316,32905,27806,23329,26521,서울특별시
폭행,발생건수[건],건,33324.0,34353,35010.0,36083,33399,31329,29785,24730,19900,22866,서울특별시
폭행(상습),발생건수[건],건,2.0,3,1.0,16,21,17,20,24,14,22,서울특별시
폭행치상,발생건수[건],건,253.0,230,323.0,418,358,408,396,342,300,338,서울특별시
폭행치사,발생건수[건],건,24.0,10,10.0,8,8,8,4,9,3,7,서울특별시
특수폭행,발생건수[건],건,23.0,17,274.0,1367,1306,1439,1548,1447,1428,1640,서울특별시
특수폭행(상습),발생건수[건],건,,,,-,3,-,2,1,-,3,서울특별시
특수폭행치상,발생건수[건],건,2.0,2,5.0,32,13,27,24,31,26,25,서울특별시
특수폭행치사,발생건수[건],건,1.0,,,-,1,2,-,-,-,-,서울특별시
존속폭행,발생건수[건],건,158.0,205,279.0,371,281,354,368,401,475,449,서울특별시
존속폭행(특수),발생건수[건],건,,,1.0,5,4,6,4,9,21,18,서울특별시
존속폭행(상습),발생건수[건],건,,1,3.0,1,2,-,4,3,2,1,서울특별시
존속폭행치상,발생건수[건],건,1.0,2,3.0,4,9,4,5,6,5,3,서울특별시
존속폭행치사,발생건수[건],건,2.0,,1.0,-,1,-,-,1,-,-,서울특별시
특가법(운전자폭행등),발생건수[건],건,1168.0,1094,966.0,1005,887,699,729,770,1115,1115,서울특별시
특가법(보복폭행등),발생건수[건],건,,,10.0,18,15,11,9,11,24,19,서울특별시
특가법(보복범죄등),발생건수[건],건,45.0,47,14.0,15,5,8,5,17,14,14,서울특별시
아동학대처벌법위반(상습폭행),발생건수[건],건,,6,9.0,7,4,4,2,4,2,1,서울특별시
체포·감금,발생건수[건],건,140.0,178,181.0,273,258,201,193,217,233,241,서울특별시
체포·감금,발생건수[건],건,126.0,167,164.0,222,222,169,159,180,181,197,서울특별시
체포·감금(중),발생건수[건],건,3.0,,6.0,8,4,6,4,6,3,1,서울특별시
체포·감금(특수),발생건수[건],건,4.0,,,,,,,,,,서울특별시
체포·감금(특수·특수중),발생건수[건],건,,,,19,17,12,13,15,19,20,서울특별시
체포·감금(상습·상습중),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
체포·감금치사상(중·특수·상습),발생건수[건],건,5.0,9,7.0,14,12,12,13,9,21,11,서울특별시
존속체포·감금,발생건수[건],건,2.0,2,3.0,8,3,2,4,6,9,7,서울특별시
존속체포·감금(중),발생건수[건],건,,,,-,-,-,-,-,-,1,서울특별시
존속체포·감금(특수·특수중),발생건수[건],건,,,,-,-,-,-,-,-,1,서울특별시
존속체포·감금(상습·상습중),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
존속체포·감금치사상(중·특수·상습),발생건수[건],건,,,1.0,-,-,-,-,1,-,1,서울특별시
특가법(보복체포·감금등),발생건수[건],건,,,,1,-,-,-,-,-,2,서울특별시
아동학대처벌법위반(상습체포·감금),발생건수[건],건,,,,1,-,-,-,-,-,-,서울특별시
협박,발생건수[건],건,1037.0,1162,1849.0,3031,2929,3105,3828,3923,3834,4193,서울특별시
협박,발생건수[건],건,1016.0,1122,1429.0,1506,1425,1621,1977,1981,1876,1923,서울특별시
협박(특수),발생건수[건],건,9.0,21,342.0,1444,1424,1419,1769,1829,1822,2116,서울특별시
협박(상습),발생건수[건],건,2.0,1,1.0,5,3,5,5,3,3,6,서울특별시
협박(상습특수),발생건수[건],건,,,,-,-,-,-,1,-,-,서울특별시
존속협박,발생건수[건],건,10.0,18,38.0,34,41,25,43,47,61,52,서울특별시
존속협박(특수),발생건수[건],건,,,,8,8,6,13,17,32,41,서울특별시
존속협박(상습),발생건수[건],건,,,1.0,-,-,-,-,-,1,1,서울특별시
존속협박(상습특수),발생건수[건],건,,,,-,-,1,-,-,-,-,서울특별시
특가법(운전자협박),발생건수[건],건,,,1.0,-,-,-,-,-,-,-,서울특별시
특가법(보복협박등),발생건수[건],건,,,37.0,34,28,28,21,45,39,54,서울특별시
아동학대처벌법위반(상습협박),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
약취·유인,발생건수[건],건,40.0,39,44.0,36,50,47,62,53,55,74,서울특별시
약취·유인(미성년자),발생건수[건],건,23.0,21,25.0,17,29,32,39,39,45,60,서울특별시
약취·유인(추행·간음·결혼·영리),발생건수[건],건,9.0,13,17.0,18,18,12,21,14,10,11,서울특별시
약취·유인(노동력착취·성매매·성적착취·장기적출),발생건수[건],건,,2,,1,1,1,1,-,-,-,서울특별시
인신매매,발생건수[건],건,,,,-,-,-,-,-,-,1,서울특별시
인신매매(추행·간음·결혼·영리),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
인신매매등(노동력착취·성매매·성적착취·장기적출),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
국외이송약취·유인·인신매매,발생건수[건],건,1.0,1,,-,-,1,-,-,-,-,서울특별시
피약취자·피유인자·피매매자(상해·치상),발생건수[건],건,,,1.0,-,-,-,1,-,-,1,서울특별시
피약취자·피유인자·피매매자(살해·치사),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
피약취자·피유인자·피매매자(수수·은닉),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
특가법(영리약취·유인·매매),발생건수[건],건,7.0,2,1.0,,,,,,,,서울특별시
특가법(약취·유인등),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
특가법(13세미만약취·유인등),발생건수[건],건,,,,-,2,1,-,-,-,-,서울특별시
아동복지법위반(아동매매),발생건수[건],건,,,,-,-,-,-,-,-,1,서울특별시
아동학대처벌법위반(상습국외이송),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
아동학대처벌법위반(상습약취·유인·인신매매),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
아동학대처벌법위반(상습피약취자·피매매자·피유인자),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
폭력행위등,발생건수[건],건,7909.0,7330,6726.0,2621,2125,1697,1548,1187,933,1077,서울특별시
폭력행위등처벌에관한법률위반(상습),발생건수[건],건,103.0,298,154.0,25,17,9,16,13,12,12,서울특별시
폭력행위등처벌에관한법률위반(공동),발생건수[건],건,4804.0,3915,3308.0,2344,2007,1606,1465,1119,889,1027,서울특별시
"폭력행위등처벌에관한법률위반(집단,흉기등)",발생건수[건],건,2609.0,2704,2900.0,120,16,22,11,15,6,7,서울특별시
"폭력행위등처벌에관한법률위반(상습집단,흉기등)",발생건수[건],건,86.0,70,54.0,6,1,2,-,1,1,-,서울특별시
폭력행위등처벌에관한법률위반(야간·공동),발생건수[건],건,2.0,1,,-,-,-,-,1,-,-,서울특별시
폭력행위등처벌에관한법률위반(야간집단흉기등),발생건수[건],건,,4,,-,-,-,-,1,-,-,서울특별시
폭력행위등처벌에관한법률위반(단체등의구성·활동),발생건수[건],건,2.0,2,,2,-,2,8,1,1,-,서울특별시
폭력행위등처벌에관한법률위반(단체등의[상습·공동·집단흉기등·상습집단흉기등]),발생건수[건],건,262.0,263,219.0,20,5,15,18,16,,,서울특별시
폭력행위등처벌에관한법률위반(단체등의[상습·공동·상습특수]),발생건수[건],건,,,,,,,,,10,17,서울특별시
폭력행위등처벌에관한법률위반(단체등의이용·지원),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
폭력행위등처벌에관한법률위반(우범자),발생건수[건],건,41.0,73,91.0,104,79,41,30,20,14,14,서울특별시
공갈,발생건수[건],건,816.0,960,643.0,705,756,788,983,940,928,1160,서울특별시
공갈,발생건수[건],건,802.0,948,627.0,667,718,743,944,907,911,1131,서울특별시
공갈(상습),발생건수[건],건,5.0,6,9.0,29,14,12,18,5,4,1,서울특별시
특경법(공갈),발생건수[건],건,9.0,6,7.0,5,4,10,6,7,5,9,서울특별시
아동학대처벌법위반(상습공갈),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
특수공갈,발생건수[건],건,,,,4,20,23,15,21,8,18,서울특별시
특수공갈(상습),발생건수[건],건,,,,,,,,,,1,서울특별시
손괴,발생건수[건],건,11477.0,11725,11739.0,11672,10986,10842,10640,10435,9367,10250,서울특별시
손괴의죄,발생건수[건],건,,11725,11739.0,11672,10986,10842,10640,10435,9367,10250,서울특별시
아동학대처벌법위반(상습손괴),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
지능범죄,발생건수[건],건,76543.0,72308,73308.0,72454,70782,75843,80728,85991,68342,78604,서울특별시
직무유기,발생건수[건],건,127.0,119,106.0,112,118,149,145,174,229,373,서울특별시
직무유기·수행거부,발생건수[건],건,127.0,118,105.0,112,118,149,145,172,229,373,서울특별시
특가법(직무유기),발생건수[건],건,,,,-,-,-,-,2,-,-,서울특별시
폭력행위등처벌에관한법률위반(직무유기),발생건수[건],건,,1,1.0,-,-,-,-,-,-,-,서울특별시
직권남용,발생건수[건],건,93.0,82,99.0,130,137,192,203,185,241,403,서울특별시
직권남용(권리행사방해·체포·감금),발생건수[건],건,60.0,52,70.0,81,94,144,147,128,173,290,서울특별시
독직폭행·가혹행위,발생건수[건],건,24.0,22,24.0,39,30,39,41,44,49,87,서울특별시
피의사실공표,발생건수[건],건,1.0,2,,-,3,2,2,2,4,5,서울특별시
공무상비밀누설,발생건수[건],건,5.0,4,3.0,6,6,4,10,8,10,13,서울특별시
선거방해,발생건수[건],건,,,,1,-,-,-,-,1,1,서울특별시
"특가법(체포·감금,독직폭행·가혹행위)",발생건수[건],건,3.0,2,2.0,3,4,3,3,3,4,7,서울특별시
증수뢰,발생건수[건],건,51.0,64,57.0,44,54,62,60,62,49,73,서울특별시
뇌물수수등,발생건수[건],건,35.0,37,36.0,29,27,29,23,16,13,12,서울특별시
뇌물공여등,발생건수[건],건,7.0,10,13.0,9,12,8,13,7,7,12,서울특별시
특가법(뇌물),발생건수[건],건,8.0,10,5.0,6,12,11,7,11,2,14,서울특별시
특가법(알선수재),발생건수[건],건,1.0,7,3.0,-,-,2,2,6,3,3,서울특별시
부패방지법,발생건수[건],건,,,,-,-,-,-,-,1,1,서울특별시
부정청탁금지법,발생건수[건],건,,,,-,3,12,15,22,23,31,서울특별시
통화,발생건수[건],건,1786.0,1433,800.0,867,1149,452,423,207,127,181,서울특별시
통화위조·변조,발생건수[건],건,922.0,620,521.0,628,891,306,234,119,88,107,서울특별시
특가법(통화위조),발생건수[건],건,780.0,682,151.0,20,5,4,-,4,-,-,서울특별시
기타통화에관한죄,발생건수[건],건,84.0,131,128.0,219,253,142,189,84,39,74,서울특별시
문서·인장,발생건수[건],건,3459.0,3338,3368.0,2952,2622,2555,2450,2424,1997,2178,서울특별시
공문서위조·변조,발생건수[건],건,737.0,613,644.0,581,535,523,569,474,301,422,서울특별시
공전자기록등위작·변작,발생건수[건],건,4.0,4,9.0,3,3,10,9,11,9,15,서울특별시
사문서위조·변조,발생건수[건],건,2641.0,2619,2551.0,2137,1891,1825,1671,1659,1401,1425,서울특별시
사전자기록등위작·변작,발생건수[건],건,23.0,26,56.0,80,67,87,97,199,214,241,서울특별시
공인등의위조·부정사용및행사,발생건수[건],건,24.0,43,69.0,94,82,70,78,49,41,52,서울특별시
사인등의위조·부정사용및행사,발생건수[건],건,30.0,33,39.0,57,44,40,26,32,31,23,서울특별시
유가증권인지,발생건수[건],건,175.0,160,127.0,101,97,62,56,34,27,25,서울특별시
유가증권위조·변조,발생건수[건],건,175.0,159,127.0,101,97,62,56,34,27,25,서울특별시
우표(인지)등위조·변조,발생건수[건],건,,1,,-,-,-,-,-,-,-,서울특별시
사기,발생건수[건],건,61120.0,56294,54304.0,51830,50352,55371,59355,65739,51661,57910,서울특별시
사기,발생건수[건],건,55179.0,51612,50339.0,49206,48063,52890,56699,61961,46332,51342,서울특별시
사기(상습),발생건수[건],건,177.0,129,185.0,504,165,158,150,107,72,109,서울특별시
준사기,발생건수[건],건,6.0,7,19.0,18,18,20,26,29,26,30,서울특별시
준사기(상습),발생건수[건],건,,,,-,-,-,1,-,-,1,서울특별시
컴퓨터등사용사기,발생건수[건],건,4865.0,3643,2889.0,1207,925,521,650,1746,3750,4560,서울특별시
편의시설부정이용,발생건수[건],건,5.0,4,5.0,11,77,98,171,174,183,271,서울특별시
부당이득,발생건수[건],건,9.0,14,18.0,12,13,17,4,10,5,9,서울특별시
부당이득(상습),발생건수[건],건,,,,-,-,-,-,1,-,-,서울특별시
특경법(사기),발생건수[건],건,879.0,885,849.0,866,857,1187,1009,1083,802,1072,서울특별시
보험사기방지특별법위반,발생건수[건],건,,,,6,234,480,645,628,491,516,서울특별시
횡령,발생건수[건],건,8524.0,9617,13300.0,15389,15316,15976,16975,16207,13260,16606,서울특별시
횡령,발생건수[건],건,3319.0,3401,3389.0,2979,2339,2259,2076,2030,1700,1763,서울특별시
업무상횡령,발생건수[건],건,1772.0,1633,1747.0,1591,1432,1449,1404,1394,1014,981,서울특별시
점유이탈물등횡령,발생건수[건],건,3172.0,4323,7927.0,10603,11310,11938,13261,12520,10335,13602,서울특별시
특경법(횡령),발생건수[건],건,261.0,260,237.0,216,235,330,234,263,211,260,서울특별시
배임,발생건수[건],건,1208.0,1201,1147.0,1029,937,1024,1061,959,751,855,서울특별시
배임,발생건수[건],건,398.0,389,317.0,259,233,209,204,174,116,119,서울특별시
업무상배임,발생건수[건],건,588.0,577,598.0,531,513,580,618,562,442,509,서울특별시
배임수재,발생건수[건],건,41.0,36,44.0,52,33,43,28,27,10,24,서울특별시
배임증재,발생건수[건],건,12.0,9,11.0,9,6,5,5,6,2,1,서울특별시
특경법(배임),발생건수[건],건,151.0,175,158.0,167,137,168,194,172,171,188,서울특별시
특경법(수재등),발생건수[건],건,8.0,4,4.0,4,9,7,4,6,2,6,서울특별시
특경법(증재등),발생건수[건],건,1.0,2,,1,-,1,1,1,-,-,서울특별시
특경법(알선수재),발생건수[건],건,9.0,9,15.0,6,6,11,7,11,8,8,서울특별시
풍속범죄,발생건수[건],건,5211.0,5828,6761.0,5644,5381,4737,5018,5022,5385,5849,서울특별시
성풍속범죄,발생건수[건],건,4124.0,4545,5439.0,3493,4157,3924,3942,3659,4387,5256,서울특별시
간통,발생건수[건],건,269.0,333,109.0,-,-,-,-,-,-,-,서울특별시
혼인빙자간음,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
혼인빙자간음(위계간음),발생건수[건],건,1.0,,,-,-,-,-,1,-,1,서울특별시
공연음란,발생건수[건],건,274.0,390,508.0,579,725,588,723,680,566,501,서울특별시
음행매개,발생건수[건],건,,,,-,-,-,-,-,4,-,서울특별시
"음화등반포(판매,임대,전시,제조)",발생건수[건],건,2.0,,2.0,14,15,6,4,3,1,4,서울특별시
