LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34,LABEL-35,LABEL-36,LABEL-37,LABEL-38
24,하락8,㈜트루빈스,관심기업,스크랩,"2배씩 성장, 업계 최대 대우(PD·AE·작가·디자이너·개발PM)",광고디자이너,영상디자이너,그래픽디자이너,제품디자이너 외,신입·경력,학력무관,"서울, 경기, 전국",정규직,즉시지원,~06/09(일),,,,,,,,,,,,,,,,,,,,,,
25,하락12,(재)경기도일자리재단,관심기업,스크랩,2024년 징검다리 일자리사업 공공형 참여자 추가모집,그래픽디자이너,온라인마케터,영업지원,금융사무 외,신입·경력,학력무관,경기,정규직,홈페이지 지원,~05/16(목),,,,,,,,,,,,,,,,,,,,,,
26,상승5,㈜넥스트세이프,관심기업,스크랩,함께 안전하고 행복한 미래를 만들 어갈 동반자를 찾습니다,제품디자이너,산업디자이너,시각디자이너,웹디자이너 외,신입·경력,학력무관,경기,정규직,즉시지원,채용 시 마감,~05/18(토),,,,,,,,,,,,,,,,,,,,,
27,상승37,쿼드스페이스㈜,관심기업,스크랩,쿼드스페이스 인테리어 시공팀 / 설계팀 / 공무팀 채용,실내디자이너,경영·비즈니스기획,경영지원,사무담당자 외,신입·경력,초대졸↑,"서울, 경기",정규직,즉시지원,~06/07(금),,,,,,,,,,,,,,,,,,,,,,
28,하락6,㈜티비에이치글로벌,관심기업,스크랩,2024년 ㈜티비에이치글로벌 부문별 경력사원 모집,웹디자이너,패션디자이너,웹기획,회계담당자 외,신입·경력,고졸↑,"서울, 울산","정규직, 계약직",즉시지원,~05/22(수),,,,,,,,,,,,,,,,,,,,,,
29,상승15,㈜단비교육,관심기업,스크랩,에듀테크 1등 기업 단비교육 (프론트엔드개발/백엔드개발/온라인마케팅/글로벌비즈니스/중등국어콘텐츠기획/학원홍보상담/웹디자인/애니메이터/일러스트),그래픽디자이너,시각디자이너,웹디자이너,편집디자이너 외,신입·경력,학력무관,서울,"정규직, 계약직",홈페이지 지원,~05/31(금),,,,,,,,,,,,,,,,,,,,,,
30,하락3,㈜넥슨,관심기업,스크랩,신입/경력 채용,그래픽디자이너,영상디자이너,UI·UX디자이너,아트디렉터 외,신입·경력,학력무관,경기,"정규직, 계약직",홈페이지 지원,상시채용,,,,,,,1000대기업,227 위,1000대기업 순위 닫기,,,우수기업,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",우수기업 설명 닫기,,,,,,,
31,하락6,사회복지법인 밀알복지재단,관심기업,스크랩,[사회복지법인 밀알복지재단] 홍보실 대외홍보팀 직원 채용,영상디자이너,AE(광고기획자),브랜드마케터,퍼포먼스마케터 외,경력무관,학력무관,"서울, 경기",정규직,홈페이지 지원,오늘 23시 마감,,,,,,,,,,,,,,,,,,,,,,
32,NEWNEW,㈜더블유티엘,관심기업,스크랩,"해외영업팀 및 해외지점, 의류 생산관리MR, 개발, 패턴실장 모집",패션디자이너,AE(광고기획자),브랜드마케터,온라인마케터 외,신입·경력,고졸↑,"서울, 경기, 아시아·중동",정규직,즉시지원,~06/12(수),,,,,,,,,,,,,,,,,,,,,,
33,하락7,㈜청년책방,관심기업,스크랩,함께 성장하는 청년책방 2024 상반기 신규 채용,웹디자이너,일러스트레이터,마케팅기획,사무보조 외,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,채용 시 마감,~05/31(금),,,,,,,,,,,,,,,,,,,,,
34,상승6,㈜데코뷰,관심기업,스크랩,"㈜데코뷰 상품기획팀, E-커머스팀(자사몰MD, 외부몰MD,웹디자인) 경력직 채용",산업디자이너,시각디자이너,패션디자이너,웹디자이너 외,신입·경력,초대졸↑,"서울, 경기, 인천",정규직,즉시지원,~05/27(월),,,,,,,,,,,,,,,,,,,,,,
35,상승6,㈜사이냅소프트,관심기업,스크랩,[2024년 신입·경력 공개채용] 각 부문별 채용,그래픽디자이너,웹디자이너,UI·UX디자이너,일러스트레이터 외,신입·경력,학력무관,서울,정규직,홈페이지 지원,~05/31(금),,,,,,,,,,,,,,,,,,,,,,
36,하락7,창대라벨㈜,관심기업,스크랩,경영지원팀 / 시각디자이너 부문별 채용,시각디자이너,웹디자이너,경영지원,사무담당자 외,신입·경력,대졸↑,"서울, 경기",정규직,즉시지원,~06/09(일),,,,,,,,,,,,,,,,,,,,,,
37,하락2,한국잡월드파트너즈㈜,관심기업,스크랩,한국잡월드파트너즈㈜ 24년 제2차 정기 공개채용 [정규직/기간제],환경디자이너,경영·비즈니스기획,경영지원,사무담당자 외,신입·경력,학력무관,"서울, 경기, 전국","정규직, 계약직",즉시지원,오늘 18시 마감,,,,,,,,,,,,,,,,,,,,,,
38,하락6,㈜세종기획,관심기업,스크랩,㈜세종기획 각 부문(디자인팀/영업지원팀/도면팀/생산수작업팀/오퍼레이팅) 신입/경력 채용,제품디자이너,시각디자이너,제품영업,법인영업 외,신입·경력,고졸↑,서울,정규직,즉시지원,채용 시 마감,~05/20(월),,,,,,,,,,,,,,,,,,,,,
39,NEWNEW,㈜미리,관심기업,스크랩,[미리생활] 생활용품 온라인몰 제품/시각디자이너 모집,제품디자이너,시각디자이너,웹디자이너,,경력무관,초대졸↑,"서울, 경기, 인천",정규직,즉시지원,~05/31(금),,,,,,,,,,,,,,,,,,,,,,
40,NEWNEW,통로이미지㈜,관심기업,스크랩,[클립아트코리아] 콘텐츠기획자 모집,광고디자이너,산업디자이너,제품디자이너,패션디자이너 외,신입·경력,초대졸↑,서울,정규직,즉시지원,~05/31(금),,,,,,,,,,,,,,,,,,,,,,
41,하락3,㈜우진프라스틱,관심기업,스크랩,2024년 신입/경력 각 분야 채용,그래픽디자이너,3D디자이너,제품디자이너,광고디자이너 외,신입·경력,고졸↑,경기,정규직,즉시지원,상시채용,,,,,,,,,,,,,,,,,,,,,,
