LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34
50,,㈜교동식품,관심기업,스크랩,[교동식품] 부문별 채용 (MD/연구원/구매자재관리/물류관리/자동화),온라인마케터,MD,마케팅기획,경력무관,초대졸↑,"서울, 대전, 세종 외",정규직,즉시지원,~05/31(금),,,,물류관리자 외,상승45,,,,,,,,,,,,,,
51,,엔에이치엔서비스 주식회사(NHN Service Corporation),관심기업,스크랩,[서울] 서비스운영관리(PAYCO) 담당자 채용,CRM마케터,채널관리자,웹기획,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,오늘마감,,,,영업관리 외,하락10,,,,,,,,,,,,,,
52,,㈜콕스인터랙티브,관심기업,스크랩,콕스인터랙티브 2024년 경력/신입 채용,AE(광고기획자),온라인마케터,콘텐츠마케터,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,~05/31(금),,,,MD 외,상승1,,,,,,,,,,,,,,
53,,㈜넥스트세이프,관심기업,스크랩,함께 안전하고 행복한 미래를 만들 어갈 동반자를 찾습니다,MD,온라인마케터,크리에이티브디렉터,신입·경력,학력무관,경기,정규직,즉시지원,~05/10(금),,,,경영·비즈니스기획 외,하락13,,,,,,,,,,,,,,
54,,티엠씨케이,관심기업,스크랩,"[TMCK]디지털 마케팅 AE(신입,주니어,시니어)/셀레이블콘텐츠기획자/셀레이블콘텐츠 제작PD 각 분야 모집",AE(광고기획자),온라인마케터,콘텐츠마케터,신입·경력,대졸↑,서울,정규직,즉시지원,~05/31(금),,,,퍼포먼스마케터 외,상승1,,,,,,,,,,,,,,
55,,존슨앤드존슨,관심기업,스크랩,2024 존슨앤드존슨 Summer Internship Recruitment - 5/19 마감,브랜드마케터,데이터사이언티스트,영업지원,인턴·신입,대졸↑,서울,인턴,홈페이지 지원,~05/19(일),,,,,상승8,,,,,,,,,,,,,,
56,,브이엠에스솔루션스,관심기업,스크랩,[브이엠에스솔루션스] 2024년 각부문별 채용,콘텐츠마케터,경영·비즈니스기획,웹기획,신입·경력,대졸↑,경기,정규직,홈페이지 지원,~05/31(금),,,,마케팅기획 외,하락14,,,,,,,,,,,,,,
57,,㈜청년책방,관심기업,스크랩,함께 성장하는 청년책방 2024 상반기 신규 채용,AE(광고기획자),브랜드마케터,퍼포먼스마케터,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,채용 시 마감,,,,온라인마케터 외,하락3,~05/31(금),,,,,,,,,,,,,
58,,㈜YG엔터테인먼트,관심기업,스크랩,[YG엔터테인먼트] 채널마케팅팀 / 채널 관리 담당자(신입),콘텐츠마케터,,,신입,대졸↑,서울,계약직,홈페이지 지원,오늘 15시 마감,,,,,상승3,,,,,,,,,,,,,,
59,,호텔에이치디씨㈜ 파크하얏트 서울,관심기업,스크랩,파크 하얏트 서울 & 안다즈 서울 강남 각 부문별 신입/경력 공개 채용 (사원-과장),브랜드마케터,퍼포먼스마케터,CRM마케터,신입·경력,학력무관,서울,"정규직, 계약직",즉시지원,~05/24(금),,,,온라인마케터 외,상승37,,,,,,,,,,,,,,
60,,일양㈜,관심기업,스크랩,기본급 350만(차등지급) 부동산 직원 모집 - 주5일 오전10시-오후3시,AE(광고기획자),브랜드마케터,CRM마케터,신입·경력,학력무관,"서울, 경기, 전국","계약직, 프리랜서",즉시지원,채용 시 마감,,,,홍보 외,상승5,~05/30(목),,,,,,,,,,,,,
