시도,시군구,폐기물 종류,Unnamed: 3,합계,재활용,소각,매립,기타
,,"재활용 
가능자원
 분리배출",소계,"17,421.30","17,421.30",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"19,359.60","19,359.60",0,0,0
서울,영등포구,합계,,"138,310.70","86,580.70","39,382.00","12,348.00",0
,,종량제방식 등 혼합배출,소계,"56,445.10","4,715.10","39,382.00","12,348.00",0
,,"재활용 
가능자원
 분리배출",소계,"38,508.40","38,508.40",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"43,357.20","43,357.20",0,0,0
서울,동작구,합계,,"105,818.50","67,110.80","25,793.70","12,914.00",0
,,종량제방식 등 혼합배출,소계,"42,592.60","3,884.90","25,793.70","12,914.00",0
,,"재활용 
가능자원
 분리배출",소계,"35,015.40","35,015.40",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"28,210.50","28,210.50",0,0,0
서울,관악구,합계,,"133,347.50","81,377.50","31,989.90","19,980.10",0
,,종량제방식 등 혼합배출,소계,"57,475.70","5,505.70","31,989.90","19,980.10",0
,,"재활용 
가능자원
 분리배출",소계,"42,797.60","42,797.60",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"33,074.20","33,074.20",0,0,0
서울,서초구,합계,,"154,858.00","91,007.60","46,534.70","17,315.70",0
,,종량제방식 등 혼합배출,소계,"66,302.70","2,452.30","46,534.70","17,315.70",0
,,"재활용 
가능자원
 분리배출",소계,"42,654.80","42,654.80",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"45,900.50","45,900.50",0,0,0
서울,강남구,합계,,"242,630.00","145,740.90","80,310.60","16,578.50",0
,,종량제방식 등 혼합배출,소계,"103,389.10","6,500.00","80,310.60","16,578.50",0
,,"재활용 
가능자원
 분리배출",소계,"56,846.50","56,846.50",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"82,394.40","82,394.40",0,0,0
서울,송파구,합계,,"179,381.90","115,814.20","34,938.70","28,629.00",0
,,종량제방식 등 혼합배출,소계,"63,567.70",0,"34,938.70","28,629.00",0
,,"재활용 
가능자원
 분리배출",소계,"58,988.70","58,988.70",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"56,825.50","56,825.50",0,0,0
서울,강동구,합계,,"120,664.40","85,033.70","19,263.60","16,367.10",0
,,종량제방식 등 혼합배출,소계,"46,609.00","10,978.30","19,263.60","16,367.10",0
,,"재활용 
가능자원
 분리배출",소계,"34,519.10","34,519.10",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"39,536.30","39,536.30",0,0,0
부산,소계,합계,,"870,833.70","698,146.60","101,550.30","71,136.80",0
,,종량제방식 등 혼합배출,소계,"427,761.30","257,036.00","99,795.50","70,929.80",0
,,"재활용 
가능자원
 분리배출",소계,"213,117.90","211,351.10","1,754.80",12,0
