LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34,LABEL-35
31,하락5,㈜이븐아이,관심기업,스크랩,(온라인 취업 교육 회사) 교육 서비스 팀원 채용,학원상담·운영,교재개발·교수설계,경영지원,,신입·경력,학력무관,서울,정규직,즉시지원,~05/27(월),,,,,,,,,,,,,,,,,,,
32,하락23,이튼교육,관심기업,스크랩,이튼교육 사무직 직원모집,학원상담·운영,교직원·조교,경영지원,사무담당자 외,경력무관,고졸↑,"서울, 경기",정규직,즉시지원,~06/09(일),,,,,,,,,,,,,,,,,,,
33,상승8,㈜케이엔에스에듀,관심기업,스크랩,[대치동 영어학원 KNS] 초등부 영어강사 채용,학원강사,외국어강사,학원상담·운영,학교·특수학교교사 외,신입·경력,대졸↑,서울,"정규직, 계약직",즉시지원,~05/31(금),,,,,,,,,,,,,,,,,,,
34,하락6,㈜고려아카데미컨설팅,관심기업,스크랩,교육운영팀 경력 채용 공고,학원상담·운영,교재개발·교수설계,,,신입·경력,초대졸↑,서울,정규직,즉시지원,~05/26(일),,,,,,,,,,,,,,,,,,,
35,상승113,(재)한국마약퇴치운동본부,관심기업,스크랩,한국마약퇴치운동본부 제7차 정규직 및 계약직 채용(사회재활상담/24시상담센터/계약직),기술·전문강사,사회복지사,인바운드상담원,,경력무관,초대졸↑,서울,계약직,즉시지원,~06/03(월),,,,,,,,,,,,,,,,,,,
36,상승1,경인여자대학교,관심기업,스크랩,경인여자대학교 교직원 채용 공고,교직원·조교,학원상담·운영,사무담당자,사무보조 외,신입·경력,초대졸↑,인천,계약직,,~05/22(수),,,,,,공고마감,,,,,,,,,,,,,
37,하락2,한화손해보험㈜,관심기업,스크랩,한화손해보험  GA매니저 (교육/설계)  모집,교재개발·교수설계,HRD·HRM,금융영업,아웃바운드상담원 외,경력무관,학력무관,"서울, 경기, 인천 외",위촉직/개인사업자,즉시지원,~05/31(금),우수기업,,우수기업 설명 닫기,,,,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",,,,,,,,,,,
38,상승5,에스제이컴퍼니,관심기업,스크랩,[월800만/전국최초기본급/분양상담사] 강남 영앤리치 MZ세대가 일하고 싶은곳,기술·전문강사,경영·비즈니스기획,사무보조,제품영업 외,경력무관,학력무관,"서울, 경기, 인천",정규직,즉시지원,~06/30(일),,,,,,,,,,,,,,,,,,,
39,상승14,㈜아이헤리티지,관심기업,스크랩,전시장 및 미술관 에듀케이터 모집,유치원·보육교사,학원강사,스태프,,경력무관,대졸↑,서울,"계약직, 아르바이트",즉시지원,~06/06(목),,,,,,,,,,,,,,,,,,,
40,NEWNEW,(재)한국마약퇴치운동본부,관심기업,스크랩,"한국마약퇴치운동본부 제7차 정규직 및 계약직 채용(사회재활/경북,대구/정규직/신입)",기술·전문강사,사회복지사,고객센터관리자,,경력무관,대졸↑,경북,정규직,즉시지원,~06/03(월),,,,,,,,,,,,,,,,,,,
41,하락2,㈜에픽플러스/영통대찬학원,관심기업,스크랩,"[영통에픽논술] 영통역 1분거리, 주4일 실장 모집 (행정직 전환가능)",학원상담·운영,안내데스크·리셉셔니스트,,,경력무관,학력무관,경기,계약직,즉시지원,~06/16(일),,,,,,,,,,,,,,,,,,,
42,하락4,㈜DYB최선어학원,관심기업,스크랩,[직영] 24년 신학기 각 부문 STAFF 모집,외국어강사,학원상담·운영,교재개발·교수설계,웹기획 외,신입·경력,대졸↑,"서울, 경기","정규직, 계약직",즉시지원,채용 시 마감,,,,~06/07(금),,,,,,,,,,,,,,,
