LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34,LABEL-35,LABEL-36,LABEL-37,LABEL-38
1,유지,매일유업㈜,관심기업,1000대기업,244 위,1000대기업 순위 닫기,스크랩,2024년 인턴채용 (채용연계형),경영·비즈니스기획,웹기획,마케팅기획,MD 외,인턴·신입,대졸↑,"서울, 경기, 대전 외",인턴,홈페이지 지원,~05/13(월),,,,,,,,,,,,,,,,,,,
2,유지,샘표식품㈜,관심기업,,,,스크랩,2024 샘표식품 각 부문 수시 채용,PL·PM·PO,인사담당자,HRD·HRM,노무관리자 외,신입·경력,학력무관,"서울, 경기, 충북 외","정규직, 계약직",홈페이지 지원,상시채용,,,,,,,,,,,,,,,,,,,
3,,㈜경동나비엔,관심기업,1000대기업,784 위,1000대기업 순위 닫기,스크랩,[경동] 2024년 상반기 수시채용,경영·비즈니스기획,마케팅기획,웹기획,시스템엔지니어 외,신입·경력,대졸↑,"서울, 경기, 대전 외",정규직,홈페이지 지원,오늘마감,상승2,,,,,,,,,,,,,,,,,,
4,,㈜모나미,관심기업,,,,스크랩,모나미 [화장품BM/구매/생산관리/영업지원/시설관리] 경력 및 신입 채용,경영·비즈니스기획,마케팅기획,경영지원,사무담당자 외,신입·경력,고졸↑,경기,정규직,즉시지원,~05/12(일),상승2,,,,,,,,,,,,,,,,,,
5,,(주)우아한형제들,관심기업,,,,스크랩,각 부문별 경력/신입 인재영입,경영·비즈니스기획,웹기획,마케팅기획,PL·PM·PO 외,신입·경력,학력무관,서울,"정규직, 계약직",홈페이지 지원,상시채용,하락2,,,,,,,,,,,,,,,,,,
6,,동국시스템즈㈜,관심기업,,,,스크랩,[동국제강그룹] 동국시스템즈 각 부문별 경력 및 인턴사원(채용연계형) 모집,경영·비즈니스기획,경영지원,사무담당자,사무보조 외,인턴·신입·경력,대졸↑,서울,"정규직, 인턴",즉시지원,~05/10(금),하락2,동국제강그룹,,,,,,,,,,,,,,,,,
7,,㈜시몬스,관심기업,,,,스크랩,2024년 상반기 부문별 채용공고(신입/경력),마케팅기획,법무담당자,인사담당자,HRD·HRM 외,신입·경력,학력무관,"서울, 경기, 인천 외","정규직, 계약직",즉시지원,채용 시 마감,상승1,,~05/31(금),,,,,,,,,,,,,,,,
8,,㈜아이디스,관심기업,,,,스크랩,2024년 2분기 집중채용 (신입/경력),웹기획,소프트웨어개발자,하드웨어개발자,하드웨어엔지니어 외,신입·경력,학력무관,"경기, 대전",정규직,홈페이지 지원,~05/21(화),상승1,,,,,,,,,,,,,,,,,,
9,,쿠쿠홀딩스,관심기업,1000대기업,586 위,1000대기업 순위 닫기,스크랩,2024년 2분기 경력 및 신입사원 인재채용,경영·비즈니스기획,마케팅기획,회계담당자,IR·공시 외,신입·경력,고졸↑,"서울, 경기, 전북 외",정규직,홈페이지 지원,내일마감,상승1,,,,,,,,,,,,,,,,,,
10,,인천신용보증재단,관심기업,,,,스크랩,2024년 인천신용보증재단 신규직원 통합 채용 공고,경영·비즈니스기획,컨설턴트,재무담당자,금융사무 외,신입·경력,학력무관,인천,"정규직, 계약직",홈페이지 지원,~05/20(월),하락3,,,,,,,,,,,,,,,,,,
11,,대교,관심기업,1000대기업,378 위,1000대기업 순위 닫기,스크랩,2024년 대교 신입사원 공개채용,웹기획,마케팅기획,학교·특수학교교사,교직원·조교 외,신입,대졸↑,"서울, 경기, 인천 외",정규직,홈페이지 지원,~05/12(일),상승1,,,,,,,,,,,,,,,,,,
12,,오스템임플란트㈜,관심기업,우수기업,,우수기업 설명 닫기,스크랩,오스템임플란트  경영지원 / 생산·물류 채용,경영·비즈니스기획,마케팅기획,PL·PM·PO,컨설턴트 외,신입·경력,학력무관,"서울, 경기",정규직,홈페이지 지원,~05/12(일),상승16,,,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",,,,,,,,,,,,,,
13,,인천공항운영서비스,관심기업,,,,스크랩,인천공항운영서비스(주) (2024-2) 직원 채용,경영·비즈니스기획,총무,인사담당자,HRD·HRM 외,신입·경력,학력무관,인천,정규직,홈페이지 지원,~05/14(화),상승1,,,,,,,,,,,,,,,,,,
14,,케이지모빌리티㈜,관심기업,1000대기업,95 위,1000대기업 순위 닫기,스크랩,2024년 KG모빌리티(주) 경력직 및 촉탁직 공개 채용,마케팅기획,경영·비즈니스기획,컨설턴트,경영지원 외,신입·경력,대졸↑,"서울, 경기",정규직,홈페이지 지원,~05/13(월),하락3,,,,,,,,,,,,,,,,,,
15,,현대자동차㈜,관심기업,,,,스크랩,현대자동차 외국인 유학생 체험형 인턴 모집,경영·비즈니스기획,R&D·연구원,생산직종사자,제품디자이너 외,인턴·신입·경력,대졸↑,"서울, 경기",인턴,홈페이지 지원,~05/14(화),상승3,현대자동차그룹,,,,1000대기업,6 위,1000대기업 순위 닫기,,,,,,,,,,,
