LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34,LABEL-35,LABEL-36,LABEL-37,LABEL-38
24,,㈜비바리퍼블리카,관심기업,,,,스크랩,토스페이먼츠 Sales Specialist 상반기 마지막 채용,법인영업,영업관리,금융영업,영업지원 외,신입·경력,학력무관,서울,계약직,홈페이지 지원,~05/23(목),상승2,,,,,,,,,,,,,,,,,,
25,,국가정보원,관심기업,,,,스크랩,2024년도 정기공채 대외 공고문,해외영업,무역사무원,설비엔지니어,반도체엔지니어 외,신입·경력,학력무관,서울,정규직,홈페이지 지원,~05/09(목),상승2,,,,,,,,,,,,,,,,,,
26,,㈜마크로젠,관심기업,우수기업,,우수기업 설명 닫기,스크랩,㈜마크로젠 각 부문 신입/경력 직원 채용,제품영업,IT·기술영업,영업관리,영업지원 외,인턴·신입·경력,학력무관,"서울, 대전, 세종","정규직, 인턴",즉시지원,~05/19(일),하락4,,,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",,,,,,,,,,,,,,
27,,㈜에스엠씨인터내셔널,관심기업,,,,스크랩,[디저트39] 2024년도 상반기 각 부문 공개 채용,법인영업,영업관리,영업지원,웹기획 외,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,채용 시 마감,상승2,,~05/10(금),,,,,,,,,,,,,,,,
28,,㈜이랜드이노플,관심기업,,,,스크랩,이랜드이노플 2024 채용연계형 인턴 채용,영업관리,IT·기술영업,백엔드개발자,프론트엔드개발자 외,인턴·신입·경력,대졸↑,서울,인턴,홈페이지 지원,내일마감,상승2,이랜드그룹,,,,,,,,,,,,,,,,,
29,,HL Klemove,관심기업,,,,스크랩,"2024 상반기 2차 수시채용 (R&D, 영업기획, SMT, 시설관리)",영업지원,시스템엔지니어,소프트웨어개발자,하드웨어개발자 외,신입·경력,대졸↑,"경기, 인천",정규직,홈페이지 지원,~05/12(일),하락6,한라그룹,,,,1000대기업,915 위,1000대기업 순위 닫기,,,,,,,,,,,
30,,㈜유피케미칼,관심기업,,,,스크랩,유피케미칼 동료를 찾습니다.,해외영업,경영·비즈니스기획,사무담당자,총무 외,신입·경력,학력무관,경기,정규직,즉시지원,~05/10(금),하락9,,,,,,,,,,,,,,,,,,
31,,㈜영신디엔씨,관심기업,,,,스크랩,2024 상반기 각 분야 신입/경력 채용,IT·기술영업,경영·비즈니스기획,웹기획,경영지원 외,신입·경력,초대졸↑,"서울, 경기, 인천 외","정규직, 계약직",즉시지원,~05/15(수),상승19,,,,,,,,,,,,,,,,,,
32,,한국사회복지공제회,관심기업,,,,스크랩,한국사회복지공제회 채용 공고,영업관리,보험설계사,금융사무,사무담당자 외,신입·경력,학력무관,서울,계약직,즉시지원,~05/12(일),상승60,,,,,,,,,,,,,,,,,,
33,,㈜알레르망,관심기업,,,,스크랩,[알레르망] 2024년 상반기 공채,제품영업,서비스영업,영업관리,영업지원 외,신입·경력,초대졸↑,"서울, 경기, 인천 외",정규직,즉시지원,~05/17(금),하락2,,,,,,,,,,,,,,,,,,
34,,한국피자헛(유),관심기업,,,,스크랩,[한국피자헛] 2024년 신입/경력 수시채용 [본사/직영점],제품영업,서비스영업,영업관리,영업지원 외,신입·경력,학력무관,"서울, 경기, 인천 외","정규직, 계약직",즉시지원,~05/12(일),상승1,,,,,,,,,,,,,,,,,,
35,,비엠스마일,관심기업,,,,스크랩,[비엠스마일 그룹]2024년 공채,제품영업,영업관리,영업지원,경영·비즈니스기획 외,신입·경력,학력무관,서울,정규직,홈페이지 지원,~05/17(금),하락21,,,,,,,,,,,,,,,,,,
36,,㈜덴티움,관심기업,,,,스크랩,"(주)덴티움 해외부분(GHR, 해외영업/CS), 준법감시본부 인재 모집",제품영업,해외영업,법인영업,IT·기술영업 외,신입·경력,학력무관,경기,정규직,즉시지원,~05/10(금),상승9,,,,,,,,,,,,,,,,,,
37,,㈜서부티엔디,관심기업,,,,스크랩,[서울드래곤시티] 각 부문별 공개채용,해외영업,법인영업,영업지원,영업관리 외,신입·경력,학력무관,서울,"정규직, 계약직",즉시지원,상시채용,상승7,,,,,,,,,,,,,,,,,,
38,,㈜시아스,관심기업,,,,스크랩,각 부문별 모집 - (생산/공무/SCM-물류/품질관리/해외영업/영업),제품영업,서비스영업,해외영업,법인영업 외,신입·경력,학력무관,"서울, 경기, 충남 외",정규직,즉시지원,~05/15(수),하락1,,,,,,,,,,,,,,,,,,
39,,태광산업㈜,관심기업,,,,스크랩,[태광산업] 2024년 상반기 수시 신입사원 채용,제품영업,인사담당자,HRD·HRM,구매관리자 외,신입,대졸↑,"서울, 울산",정규직,홈페이지 지원,~05/19(일),하락5,태광그룹,,,,1000대기업,122 위,1000대기업 순위 닫기,,,,,,,,,,,
40,,㈜디에이피,관심기업,1000대기업,930 위,1000대기업 순위 닫기,스크랩,(주)디에이피 안성공장 2024년 상반기 채용(기숙사 있음),제품영업,IT·기술영업,영업관리,영업지원 외,신입·경력,학력무관,경기,정규직,즉시지원,오늘마감,상승14,,,,,,,,,,,,,,,,,,
41,유지,코리아e플랫폼㈜,관심기업,1000대기업,577 위,1000대기업 순위 닫기,스크랩,2024년 코리아e플랫폼 신입/경력 수시채용,영업관리,영업지원,구매관리자,공무 외,신입·경력,고졸↑,서울,정규직,즉시지원,~05/07(화),,,,,,,,,,,,,,,,,,,
42,,㈜인이스홀딩스,관심기업,,,,,,,,,,영업지원,,,,즉시지원,~06/29(토),NEWNEW,,,,,,,,합격축하금 50만원,스크랩,영업지원  제품기획  거래처 및 제품관리,경력무관,학력무관,경기,정규직,,,,
43,,㈜원봉,관심기업,,,,스크랩,2024년 상반기 채용공고,서비스영업,해외영업,영업관리,회계담당자 외,신입·경력,대졸↑,"서울, 경기",정규직,즉시지원,~05/24(금),하락19,,,,,,,,,,,,,,,,,,
44,,동화기업㈜,관심기업,,,,스크랩,동화그룹 신입/경력사원 채용,제품영업,해외영업,법인영업,영업관리 외,신입·경력,고졸↑,"서울, 인천, 충남",정규직,홈페이지 지원,~05/10(금),하락5,,,,,,,,,,,,,,,,,,
45,,우미건설㈜,관심기업,,,,스크랩,우미 5월 경력사원 수시채용,서비스영업,경영지원,회계담당자,재무담당자 외,신입·경력,초대졸↑,"서울, 경기, 대전 외","정규직, 계약직",홈페이지 지원,내일마감,상승1,우심홀딩스그룹,,,,1000대기업,776 위,1000대기업 순위 닫기,,,,,,,,,,,
46,,디와이피엔에프㈜,관심기업,,,,스크랩,디와이피엔에프㈜ 신입/경력사원 공개채용,제품영업,영업관리,영업지원,경영·비즈니스기획 외,신입·경력,초대졸↑,"서울, 경기","정규직, 계약직",즉시지원,~05/31(금),상승5,,,,,,,,,,,,,,,,,,
47,,㈜노랑푸드,관심기업,,,,스크랩,"[노랑통닭/(주)노랑푸드] 정규직 채용(인사자금팀/선릉직영점(점장,매니저)/서울경기센터SV/충청센터SV/물류,구매,품질관리)",법인영업,영업관리,영업지원,인사담당자 외,신입·경력,학력무관,"서울, 경기, 대전 외",정규직,즉시지원,~05/31(금),하락9,,,,,,,,,,,,,,,,,,
48,,롯데캐피탈㈜,관심기업,,,,스크랩,"롯데캐피탈㈜ 직원[채권관리(채무재조정,추심지원,소송송무),오토영업]채용",금융영업,금융사무,심사,은행원·텔러 외,경력무관,학력무관,서울,계약직,즉시지원,~05/10(금),상승7,롯데그룹,,,,,,,,,,,,,,,,,
49,유지,KB캐피탈㈜,관심기업,,,,스크랩,KB캐피탈 각 부문 채용(계약직),영업관리,사무담당자,사무보조,금융사무 외,신입·경력,학력무관,"서울, 경기, 전북",계약직,즉시지원,~05/08(수),,KB금융그룹,,,,,,,,,,,,,,,,,
50,,제노에너지㈜,관심기업,,,,스크랩,2024년 상반기 신입 및 경력사원 채용,IT·기술영업,영업관리,해외영업,경영지원 외,경력무관,학력무관,경기,정규직,즉시지원,~05/12(일),상승16,,,,,,,,,,,,,,,,,,
51,,AJ 네트웍스,관심기업,,,,스크랩,AJ네트웍스 렌탈부문 5월 수시채용,제품영업,서비스영업,법인영업,IT·기술영업 외,신입·경력,고졸↑,"서울, 경기, 충남 외",정규직,홈페이지 지원,~05/22(수),상승12,,,,,,,,,,,,,,,,,,
52,,㈜ABB코리아,관심기업,1000대기업,642 위,1000대기업 순위 닫기,스크랩,㈜ABB코리아 각 부문 채용,제품영업,IT·기술영업,영업관리,영업지원 외,신입·경력,학력무관,"서울, 충남, 부산 외","정규직, 계약직",홈페이지 지원,~05/31(금),하락10,,,,,,,,,,,,,,,,,,
53,,진인프라,관심기업,,,,스크랩,2024년 신입 및 경력 공개 채용,제품영업,서비스영업,법인영업,IT·기술영업 외,신입·경력,고졸↑,"서울, 대전, 광주 외","정규직, 계약직",즉시지원,~05/25(토),하락37,,,,,,,,,,,,,,,,,,
54,,우진일렉트로나이트㈜,관심기업,,,,,,,,,,제품영업,,,,즉시지원,~06/01(토),NEWNEW,,,,,,,,합격축하금 50만원,스크랩,영업 신입 및 경력직원 채용,경력무관,대졸↑,경기,정규직,,,,
55,,애경케미칼㈜,관심기업,,,,스크랩,애경케미칼 경력 채용,영업관리,영업지원,경영·비즈니스기획,마케팅기획 외,신입·경력,대졸↑,"서울, 충남",정규직,홈페이지 지원,채용 시 마감,하락12,애경그룹,~05/16(목),,,1000대기업,292 위,1000대기업 순위 닫기,,,,,,,,,,,
56,,㈜컴파트너스,관심기업,,,,스크랩,NAVER I&S㈜/자회사 각 부문 수시 채용,IT·기술영업,사무담당자,인바운드상담원,아웃바운드상담원 외,신입,학력무관,"경기, 인천",정규직,홈페이지 지원,내일마감,상승5,,,,,,,,,,,,,,,,,,
57,,㈜웹젠,관심기업,,,,스크랩,2024 상반기 웹젠 채용연계형 인턴 모집,해외영업,경영·비즈니스기획,웹기획,마케팅기획 외,인턴·신입·경력,학력무관,경기,인턴,홈페이지 지원,~05/07(화),상승5,,,,,,,,,,,,,,,,,,
58,,하나펀드서비스㈜,관심기업,,,,스크랩,하나펀드서비스㈜ 각 부문 신입 및 경력  채용,IT·기술영업,경영·비즈니스기획,웹기획,PL·PM·PO 외,신입·경력,대졸↑,"서울, 인천","정규직, 계약직",즉시지원,내일마감,상승1,,,,,,,,,,,,,,,,,,
59,,㈜농심,관심기업,1000대기업,157 위,1000대기업 순위 닫기,스크랩,SSM 전문영업직 수시 채용(수도권)(제주),서비스영업,영업지원,매장관리자,,신입,고졸↑,"서울, 제주, 전국",정규직,즉시지원,내일마감,상승17,,,,,,,,,,,,,,,,,,
60,,㈜국순당,관심기업,,,,스크랩,"각 부문 (영업, 생산관리) 인재채용",제품영업,서비스영업,법인영업,영업관리 외,신입·경력,초대졸↑,"서울, 강원",정규직,즉시지원,채용 시 마감,상승18,,~05/08(수),,,,,,,,,,,,,,,,
61,,㈜옵투스제약,관심기업,,,,스크랩,각 부문 신입/경력 채용,제품영업,해외영업,영업관리,경영·비즈니스기획 외,신입·경력,초대졸↑,경기,정규직,즉시지원,~05/28(화),하락9,,,,,,,,,,,,,,,,,,
62,,신라에이치엠㈜,관심기업,,,,스크랩,"[신라스테이] 본사(HQ) 호텔 분야별 인재 채용(객실예약,교육,인사,품질관리QA,전산(IT),영업전략)",영업관리,영업지원,인사담당자,HRD·HRM 외,신입·경력,초대졸↑,서울,정규직,즉시지원,~05/21(화),상승8,삼성그룹,,,,,,,,,,,,,,,,,
63,,㈜넥슨,관심기업,1000대기업,227 위,1000대기업 순위 닫기,스크랩,신입/경력 채용,해외영업,IT·기술영업,경영·비즈니스기획,웹기획 외,신입·경력,학력무관,경기,"정규직, 계약직",홈페이지 지원,상시채용,상승2,,,,,,,,,,,,,,,우수기업,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",우수기업 설명 닫기
64,,르노코리아㈜,관심기업,1000대기업,98 위,1000대기업 순위 닫기,스크랩,세일즈어드바이저(SA) 1기 공개모집,제품영업,영업지원,해외영업,서비스영업 외,신입·경력,학력무관,"서울, 경기, 인천 외",위촉직/개인사업자,홈페이지 지원,~05/17(금),상승10,,,,,,,,,,,,,,,,,,
65,,㈜피라인모터스,관심기업,,,,스크랩,각 분야 신입/경력 모집 (회계/자금/법무관재/영업/반출관리/사업관리/사업지원/신사업부/해외사업부/통번역/자동차연구소(개발)/자동차연구소(인증)/충전사업관리/충전인프라관리),제품영업,서비스영업,해외영업,경영·비즈니스기획 외,신입·경력,대졸↑,"서울, 경기, 인천",정규직,즉시지원,채용 시 마감,상승17,,~05/31(금),,,,,,,,,,,,,,,,
66,,에스케이핀크스㈜,관심기업,,,,스크랩,2024년 SK핀크스 5월 신입 및 경력 정규직 채용,영업관리,요리사,조리사,제과제빵사 외,신입·경력,초대졸↑,제주,정규직,홈페이지 지원,~05/08(수),상승11,SK 그룹,,,,,,,,,,,,,,,,,
67,,도미노피자(청오디피케이),관심기업,,,,스크랩,2024년 도미노피자 직영매장직 공개채용,제품영업,영업관리,영업지원,배달기사 외,경력무관,고졸↑,"서울, 경기, 인천 외",정규직,즉시지원,내일마감,상승29,,,,,,,,,,,,,,,,,,
68,,온라인팜㈜,관심기업,,,,스크랩,[한미약품 관계사] 병원 및 약국 영업직원 채용,제품영업,법인영업,영업관리,서비스영업 외,신입·경력,대졸↑,"서울, 경기, 인천 외",정규직,홈페이지 지원,내일마감,상승16,,,,,,,,,,,,,,,,,,
69,,㈜리치빔,관심기업,,,,스크랩,[직전연봉 1000만 인상] 피나치공 각 부문별 인재모집,영업관리,영업지원,마케팅기획,온라인마케터 외,신입·경력,학력무관,"서울, 광주, 경남",계약직,즉시지원,~05/11(토),상승14,,,,,,,,,,,,,,,,,,
70,,인카금융서비스㈜,관심기업,,,,스크랩,2024 인카금융서비스 대졸 신입사원 공개채용,영업관리,금융영업,영업지원,마케팅기획 외,경력무관,대졸↑,"서울, 경기, 인천",정규직,즉시지원,~05/31(금),하락17,,,,,,,,,,,,,,,,,,
71,,우진일렉트로나이트㈜,관심기업,,,,,,,,,,IT·기술영업,,,,즉시지원,~06/01(토),NEWNEW,,,,,,,,합격축하금 50만원,스크랩,기술영업 신입 및 경력직원 채용,경력무관,대졸↑,경기,정규직,,,,
72,,깨끗한나라㈜,관심기업,1000대기업,447 위,1000대기업 순위 닫기,스크랩,2024 2분기 수시채용[국내영업(경력)/해외영업(신입)/회계(신입)],제품영업,해외영업,영업관리,영업지원 외,신입·경력,대졸↑,서울,정규직,홈페이지 지원,~05/07(화),상승3,,,,,,,,,,,,,,,,,,
73,,㈜위즈코리아,관심기업,,,,스크랩,㈜위즈코리아 `24년도 상반기 직무별 신입/경력자 정기채용,해외영업,IT·기술영업,경영·비즈니스기획,웹기획 외,인턴·신입·경력,초대졸↑,"서울, 대전, 광주 외","정규직, 인턴 외",즉시지원,~05/31(금),상승6,,,,,,,,,,,,,,,,,,
74,,㈜한국크레딕라이프,관심기업,,,,스크랩,"[토스플레이스 자회사] HR, 재무/회계, 영업/거래처관리,  고객직원, 현장대응 부문별 채용",법인영업,영업관리,재무담당자,인바운드상담원 외,신입·경력,학력무관,서울,정규직,즉시지원,채용 시 마감,하락10,,~06/29(토),,,,,,,,,,,,,,,,
75,,㈜ 국제스케폴딩,관심기업,,,,스크랩,"[서울본사, 부산지사,  강릉지사] 영업팀,경영지원팀 직원 채용",제품영업,서비스영업,법인영업,IT·기술영업 외,신입·경력,초대졸↑,"서울, 광주, 부산 외",정규직,즉시지원,~06/03(월),상승5,,,,,,,,,,,,,,,,,,
76,,신라에이치엠㈜,관심기업,,,,스크랩,[신라스테이](서부산/해운대) 호텔 분야별 인재 채용 (프론트/조리/식음/기업체 Sales/A&G/라이프가드/간호조무사),제품영업,서비스영업,법인영업,영업관리 외,신입·경력,학력무관,부산,정규직,즉시지원,~06/03(월),NEWNEW,삼성그룹,,,,,,,,,,,,,,,,,
77,,㈜메코,관심기업,,,,스크랩,(주)메코 경리회계 및 영업본부 식품영업 신입/경력 채용,제품영업,법인영업,영업지원,MD 외,신입·경력,초대졸↑,"서울, 경기","정규직, 계약직",즉시지원,~05/31(금),하락17,,,,,,,,,,,,,,,,,,
78,,㈜다우데이타,관심기업,,,,스크랩,[다우키움그룹] 2024년 다우데이타 2분기 채용,IT·기술영업,경영·비즈니스기획,재무담당자,백엔드개발자 외,신입·경력,대졸↑,서울,정규직,홈페이지 지원,내일마감,하락22,다우키움그룹,,,,,,,,,,,,,,,,,
79,,㈜네오팜,관심기업,,,,스크랩,"[네오팜] 해외사업(영어권), BM, 구매발주, 품질관리(포장재), 생산기획, 충포장, 공무, 생산직 인재채용",해외영업,경영·비즈니스기획,브랜드마케터,온라인마케터 외,신입·경력,고졸↑,"서울, 충북",정규직,홈페이지 지원,~05/07(화),상승6,,,,,,,,,,,,,,,,,,
80,,보성특산교역㈜,관심기업,,,,스크랩,[본사] 구매팀 경력 & 신입 채용,영업관리,물류관리자,구매관리자,자재관리자 외,신입·경력,대졸↑,서울,정규직,즉시지원,~05/21(화),상승32,,,,,,,,,,,,,,,,,,
81,,홈플러스㈜,관심기업,,,,스크랩,홈플러스 대형마트(Hyper) 신입/부사관 채용연계형 인턴 선발,제품영업,영업관리,영업지원,MD 외,인턴·신입·경력,초대졸↑,"서울, 경기, 인천 외","정규직, 인턴",즉시지원,~05/08(수),상승5,홈플러스그룹,,,,1000대기업,52 위,1000대기업 순위 닫기,,,,,,,,,,,
82,,엠에스씨코리아㈜,관심기업,,,,스크랩,MSC KOREA 신입/경력 채용,해외영업,영업관리,영업지원,경영지원 외,신입·경력,대졸↑,서울,정규직,즉시지원,~05/22(수),하락1,,,,,,,,,,,,,,,,,,
83,,디에프피,관심기업,,,,스크랩,SPELLEDIT 2024년 상반기 공개 채용 (디자인팀/생산관리팀/비주얼 디렉팅팀/컨텐츠팀/해외영업팀),해외영업,그래픽디자이너,제품디자이너,산업디자이너 외,신입·경력,초대졸↑,서울,정규직,즉시지원,~05/30(목),하락10,,,,,,,,,,,,,,,,,,
84,,점포라인,관심기업,,,,스크랩,부동산 온라인중개업 [주간수당.출근 없는 자유업/교육기간3개월]신입경력 직원모집,제품영업,서비스영업,광고영업,금융영업 외,경력무관,고졸↑,"서울, 경기",위촉직/개인사업자,즉시지원,~06/08(토),상승15,,,,,,,,,,,,,,,,,,
85,,㈜사이냅소프트,관심기업,,,,스크랩,[2024년 신입·경력 공개채용] 각 부문별 채용,IT·기술영업,영업관리,영업지원,웹기획 외,신입·경력,학력무관,서울,정규직,홈페이지 지원,~05/31(금),하락27,,,,,,,,,,,,,,,,,,
86,,㈜실크로드시앤티,관심기업,,,,스크랩,SILKROAD 2024년 상반기 신입/경력 채용,해외영업,감사,경영·비즈니스기획,법무담당자 외,신입·경력,학력무관,서울,정규직,즉시지원,상시채용,상승3,,,,,,,,,,,,,,,,,,
87,,게이트비젼㈜,관심기업,,,,스크랩,각 부문 신입/경력 사원 모집(해외영업/영업관리자/DJI트레이너/MD/팝업스토어),해외영업,광고영업,영업관리,영업지원 외,신입·경력,학력무관,"서울, 경기, 광주 외",정규직,즉시지원,채용 시 마감,상승42,,~05/14(화),,,,,,,,,,,,,,,,
88,,한국존슨앤드존슨판매(유),관심기업,,,,스크랩,Kenvue Pharmacy Student  Ambassador Program,제품영업,영업지원,경영·비즈니스기획,웹기획 외,신입·경력,대졸↑,"서울, 경기, 인천",연수생/교육생,즉시지원,~05/19(일),상승21,,,,,,,,,,,,,,,,,,
89,,㈜교동식품,관심기업,,,,스크랩,[교동식품] 부문별 채용 (MD/연구원/구매자재관리/물류관리/자동화),제품영업,영업지원,마케팅기획,온라인마케터 외,경력무관,초대졸↑,"서울, 대전, 세종 외",정규직,즉시지원,~05/31(금),상승41,,,,,,,,,,,,,,,,,,
90,,㈜시스윈로보틱스,관심기업,,,,스크랩,"대기업수준 연봉,복리후생(개발,영업,기구설계,전장,셋업,제작,사무직)",제품영업,IT·기술영업,경영·비즈니스기획,총무 외,신입·경력,고졸↑,경기,정규직,즉시지원,상시채용,하락3,,,,,,,,,,,,,,,,,,
91,,엠에스씨코리아㈜,관심기업,,,,스크랩,엠에스씨코리아㈜ 각 부문별 신입/경력 채용,해외영업,영업관리,영업지원,사무담당자 외,신입·경력,초대졸↑,부산,정규직,즉시지원,~05/31(금),NEWNEW,,,,,,,,,,,,,,,,,,
92,,엔에이치엔서비스 주식회사(NHN Service Corporation),관심기업,,,,스크랩,[서울] 서비스운영관리(PAYCO) 담당자 채용,영업관리,IT·기술영업,영업지원,서비스영업 외,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,내일마감,하락23,,,,,,,,,,,,,,,,,,
93,,산동항공공사,관심기업,,,,스크랩,중국산동항공 서울지점 신입 및 경력사원 채용,서비스영업,해외영업,영업관리,법인영업 외,신입·경력,초대졸↑,"서울, 인천",정규직,즉시지원,~06/14(금),상승46,,,,,,,,,,,,,,,,,,
