LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32
18,상승35,㈜노랑푸드,관심기업,,,,,스크랩,[노랑통닭/(주)노랑푸드] 경영관리본부 정규직 채용,인사담당자,HRD·HRM,경영지원,노무사 외,신입·경력,초대졸↑,서울,정규직,즉시지원,~06/14(금),,,,,,,,,,,,
19,하락8,㈜아이마켓코리아,관심기업,,,,,스크랩,채용연계형 인턴 공개채용,인사담당자,경영·비즈니스기획,경영지원,사무담당자 외,인턴·경력무관,학력무관,서울,인턴,홈페이지 지원,~06/02(일),1000대기업,126 위,1000대기업 순위 닫기,,,,,,,,,
20,하락1,㈜삼양인터내셔날,관심기업,GS그룹,1000대기업,964 위,1000대기업 순위 닫기,스크랩,㈜삼양인터내셔날 총무법무팀 안전보건담당 모집,인사담당자,총무,보건관리자,,신입·경력,초대졸↑,서울,정규직,즉시지원,~05/26(일),,,,,,,,,,,,
21,,㈜농업회사법인 포프리,관심기업,,,,,스크랩,현장영업사원 채용 및 관리매니저 채용,인사담당자,HRD·HRM,잡매니저,MD 외,신입·경력,학력무관,"서울, 경기, 인천 외",정규직,즉시지원,채용 시 마감,,,,,,,,유지,,~06/02(일),,
22,상승1,㈜컴투스,관심기업,,,,,스크랩,[컴투스 그룹] 각 부문별 경력/신입 인재채용,인사담당자,HRD·HRM,경영·비즈니스기획,웹기획 외,신입·경력,학력무관,서울,정규직,홈페이지 지원,~05/31(금),,,,,,,,,,,,
23,하락3,샘표식품㈜,관심기업,,,,,스크랩,2024 샘표식품 각 부문 수시 채용,인사담당자,HRD·HRM,노무관리자,PL·PM·PO 외,신입·경력,학력무관,"서울, 경기, 충북 외","정규직, 계약직",홈페이지 지원,상시채용,,,,,,,,,,,,
24,하락7,이지샵,관심기업,,,,,스크랩,이지샵 주식회사 2024년 상반기 채용,인사담당자,HRD·HRM,경영·비즈니스기획,웹기획 외,신입·경력,대졸↑,서울,정규직,즉시지원,~05/30(목),,,,,,,,,,,,
25,하락3,㈜팬코,관심기업,,,,,스크랩,각 부문별 신입 및 경력사원 채용,인사담당자,HRD·HRM,경영·비즈니스기획,사무담당자 외,신입·경력,대졸↑,"서울, 아시아·중동",정규직,홈페이지 지원,상시채용,,,,,,,,,,,,
26,NEWNEW,쿠팡로지스틱스서비스,관심기업,,,,,스크랩,채용 담당자 모집 (Helper Recruiter),인사담당자,,,,경력무관,학력무관,서울,계약직,즉시지원,~06/28(금),,,,,,,,,,,,
27,하락1,㈜위즈코리아,관심기업,,,,,스크랩,㈜위즈코리아 `24년도 상반기 직무별 신입/경력자 정기채용,인사담당자,경영·비즈니스기획,웹기획,총무 외,인턴·신입·경력,초대졸↑,"서울, 대전, 광주 외","정규직, 인턴 외",즉시지원,채용 시 마감,,,,,,,,,,~06/02(일),,
28,하락3,㈜Korea Instrument,관심기업,,,,,스크랩,(주)코리아인스트루먼트 관리지원팀 인사/총무 채용,인사담당자,노무관리자,사무담당자,총무 외,신입,학력무관,경기,정규직,즉시지원,~07/16(화),,,,,,,,,,,,
29,하락5,나이스피앤아이㈜,관심기업,,,,,스크랩,[NICE피앤아이] 2024년 2분기 정규직(신입&경력) 공개채용,HRD·HRM,금융사무,심사,,신입·경력,대졸↑,서울,정규직,홈페이지 지원,~06/15(토),,,,,,,,,,,,
30,상승2,TechWing,관심기업,,,,,스크랩,각 부문별 신입 및 경력 채용,인사담당자,감사,소프트웨어개발자,하드웨어개발자 외,신입·경력,대졸↑,"경기, 충남",정규직,,~05/22(수),,,,,,,,,공고마감,,,
31,하락1,아우토슈타트㈜,관심기업,,,,,스크랩,[포르쉐 공식딜러] 아우토슈타트㈜ 각 부문별 채용,인사담당자,HRD·HRM,총무,사무보조 외,신입·경력,고졸↑,"경기, 대전","정규직, 계약직",즉시지원,~06/10(월),,,,,,,,,,,,
32,하락3,에이치디씨리조트㈜,관심기업,,,,,스크랩,각 부문별 신입/ 경력직 모집  [HDC리조트],인사담당자,HRD·HRM,경영·비즈니스기획,마케팅기획 외,경력무관,초대졸↑,강원,정규직,즉시지원,~06/06(목),,,,,,,,,,,,
33,하락2,(주)삼양홀딩스,관심기업,,,,,스크랩,2024년 삼양그룹 상시POOL 모집,HRD·HRM,경영·비즈니스기획,마케팅기획,컨설턴트 외,신입·경력,대졸↑,"서울, 인천, 대전 외",정규직,홈페이지 지원,상시채용,,,,,,,,,,,,
34,,효성ITX㈜,관심기업,,,,,스크랩,[효성ITX] 인사팀 신입/경력사원 모집,인사담당자,HRD·HRM,,,신입·경력,대졸↑,서울,정규직,즉시지원,~06/08(토),,,,,,,,유지,,,,
35,NEWNEW,㈜글루업,관심기업,,,,,스크랩,"[글루업]재무회계팀, 인사총무팀 경력직 채용",인사담당자,HRD·HRM,경영지원,사무담당자 외,신입·경력,학력무관,서울,정규직,즉시지원,~07/19(금),,,,,,,,,,,,
36,NEWNEW,㈜45스페이스(45space),관심기업,,,,,스크랩,여성제화 1등 브랜드 착한구두 인사총무팀에서 함께할 인사총무담당자를 모집합니다.,HRD·HRM,총무,,,신입·경력,학력무관,서울,정규직,즉시지원,~06/20(목),,,,,,,,,,,,
37,하락2,㈜웨이팅리스트,관심기업,,,,,스크랩,[500만 팔로워를 보유한 플랫폼 기업] 각 부문 신입 및 경력사원 채용,인사담당자,AE(광고기획자),온라인마케터,광고디자이너 외,신입·경력,학력무관,서울,정규직,즉시지원,채용 시 마감,,,,,,,,,,~06/13(목),,
38,상승1,㈜이엔에스코리아,관심기업,,,,,스크랩,[이엔에스코리아] 확장에 따른 인재를 모집합니다,인사담당자,HRD·HRM,총무,회계담당자 외,신입·경력,학력무관,서울,정규직,즉시지원,채용 시 마감,,,,,,,,,,~06/19(수),,
