죄종별,항목,단위,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,행정구역
협박(특수),발생건수[건],건,2212,2450,2653,3102,3156,3203,3371,경기
협박(상습),발생건수[건],건,14,4,4,8,8,6,4,경기
협박(상습특수),발생건수[건],건,0,0,0,0,0,2,0,경기
존속협박,발생건수[건],건,57,37,54,73,66,66,72,경기
존속협박(특수),발생건수[건],건,16,19,14,28,29,56,58,경기
존속협박(상습),발생건수[건],건,0,0,1,1,0,0,1,경기
존속협박(상습특수),발생건수[건],건,1,0,0,0,0,0,0,경기
특가법(운전자협박),발생건수[건],건,0,0,0,0,0,0,0,경기
특가법(보복협박등),발생건수[건],건,26,12,25,20,19,47,39,경기
아동학대처벌법위반(상습협박),발생건수[건],건,0,0,0,0,0,0,0,경기
약취·유인,발생건수[건],건,55,55,51,82,63,67,77,경기
약취·유인(미성년자),발생건수[건],건,25,38,38,60,47,53,59,경기
약취·유인(추행·간음·결혼·영리),발생건수[건],건,26,14,12,13,10,13,17,경기
약취·유인(노동력착취·성매매·성적착취·장기적출),발생건수[건],건,0,0,0,6,2,1,0,경기
인신매매,발생건수[건],건,0,0,1,2,2,0,0,경기
인신매매(추행·간음·결혼·영리),발생건수[건],건,0,0,0,0,0,0,0,경기
인신매매등(노동력착취·성매매·성적착취·장기적출),발생건수[건],건,0,0,0,1,0,0,0,경기
국외이송약취·유인·인신매매,발생건수[건],건,0,3,0,0,0,0,1,경기
피약취자·피유인자·피매매자(상해·치상),발생건수[건],건,1,0,0,0,1,0,0,경기
피약취자·피유인자·피매매자(살해·치사),발생건수[건],건,0,0,0,0,0,0,0,경기
피약취자·피유인자·피매매자(수수·은닉),발생건수[건],건,0,0,0,0,0,0,0,경기
특가법(약취·유인등),발생건수[건],건,0,0,0,0,0,0,0,경기
특가법(13세미만약취·유인등),발생건수[건],건,1,0,0,0,1,0,0,경기
아동복지법위반(아동매매),발생건수[건],건,2,0,0,0,0,0,0,경기
아동학대처벌법위반(상습국외이송),발생건수[건],건,0,0,0,0,0,0,0,경기
아동학대처벌법위반(상습약취·유인·인신매매),발생건수[건],건,0,0,0,0,0,0,0,경기
아동학대처벌법위반(상습피약취자·피매매자·피유인자),발생건수[건],건,0,0,0,0,0,0,0,경기
폭력행위등,발생건수[건],건,3252,2756,2236,1967,1701,1515,1530,경기
폭력행위등처벌에관한법률위반(상습),발생건수[건],건,16,5,3,3,2,13,9,경기
폭력행위등처벌에관한법률위반(공동),발생건수[건],건,2848,2571,2108,1870,1630,1440,1485,경기
"폭력행위등처벌에관한법률위반(집단,흉기등)",발생건수[건],건,187,32,36,22,17,22,8,경기
"폭력행위등처벌에관한법률위반(상습집단,흉기등)",발생건수[건],건,4,1,3,0,0,1,0,경기
폭력행위등처벌에관한법률위반(야간·공동),발생건수[건],건,0,0,0,3,0,0,0,경기
폭력행위등처벌에관한법률위반(야간집단흉기등),발생건수[건],건,0,0,0,0,0,0,0,경기
폭력행위등처벌에관한법률위반(단체등의구성·활동),발생건수[건],건,21,22,16,27,18,18,13,경기
폭력행위등처벌에관한법률위반(단체등의[상습·공동·집단흉기등·상습집단흉기등]),발생건수[건],건,19,7,10,13,12,0,0,경기
폭력행위등처벌에관한법률위반(단체등의[상습·공동·상습특수]),발생건수[건],건,0,0,0,0,0,7,7,경기
폭력행위등처벌에관한법률위반(단체등의이용·지원),발생건수[건],건,3,1,0,0,0,0,0,경기
폭력행위등처벌에관한법률위반(우범자),발생건수[건],건,154,117,60,29,22,14,8,경기
공갈,발생건수[건],건,782,1052,970,1177,1306,1319,1911,경기
공갈,발생건수[건],건,765,1001,932,1117,1271,1290,1888,경기
공갈(상습),발생건수[건],건,14,17,9,36,10,6,5,경기
특경법(공갈),발생건수[건],건,1,5,5,10,5,2,5,경기
아동학대처벌법위반(상습공갈),발생건수[건],건,0,0,0,0,0,0,0,경기
특수공갈,발생건수[건],건,2,29,24,14,20,21,13,경기
특수공갈(상습),발생건수[건],건,0,0,0,0,0,0,0,경기
손괴,발생건수[건],건,14980,14476,15129,15515,15627,14362,15354,경기
손괴의죄,발생건수[건],건,14980,14476,15129,15515,15627,14362,15354,경기
아동학대처벌법위반(상습손괴),발생건수[건],건,0,0,0,0,0,0,0,경기
지능범죄,발생건수[건],건,72165,71135,81715,93292,105501,91869,98422,경기
직무유기,발생건수[건],건,93,90,116,78,140,134,323,경기
직무유기·수행거부,발생건수[건],건,93,90,116,78,140,133,321,경기
특가법(직무유기),발생건수[건],건,0,0,0,0,0,1,2,경기
폭력행위등처벌에관한법률위반(직무유기),발생건수[건],건,0,0,0,0,0,0,0,경기
직권남용,발생건수[건],건,87,98,102,112,169,148,462,경기
직권남용(권리행사방해·체포·감금),발생건수[건],건,47,60,78,75,122,104,368,경기
독직폭행·가혹행위,발생건수[건],건,30,28,22,27,34,28,81,경기
피의사실공표,발생건수[건],건,0,1,0,0,0,1,0,경기
공무상비밀누설,발생건수[건],건,7,3,1,10,8,11,11,경기
선거방해,발생건수[건],건,0,0,1,0,0,0,1,경기
"특가법(체포·감금,독직폭행·가혹행위)",발생건수[건],건,3,6,0,0,5,4,1,경기
증수뢰,발생건수[건],건,38,70,44,45,46,55,79,경기
뇌물수수등,발생건수[건],건,25,44,24,10,11,11,22,경기
뇌물공여등,발생건수[건],건,6,10,7,8,6,6,4,경기
특가법(뇌물),발생건수[건],건,4,2,2,1,7,9,26,경기
특가법(알선수재),발생건수[건],건,3,4,3,4,3,1,0,경기
부패방지법,발생건수[건],건,0,0,0,0,0,4,1,경기
부정청탁금지법,발생건수[건],건,0,10,8,22,19,24,26,경기
통화,발생건수[건],건,408,759,285,193,148,77,104,경기
통화위조·변조,발생건수[건],건,319,586,197,121,91,50,60,경기
특가법(통화위조),발생건수[건],건,10,5,1,0,0,0,0,경기
기타통화에관한죄,발생건수[건],건,79,168,87,72,57,27,44,경기
문서·인장,발생건수[건],건,2912,2521,2233,2395,2522,2346,2561,경기
공문서위조·변조,발생건수[건],건,717,562,481,512,488,359,492,경기
공전자기록등위작·변작,발생건수[건],건,6,7,14,7,9,13,16,경기
사문서위조·변조,발생건수[건],건,1891,1782,1622,1707,1675,1557,1611,경기
사전자기록등위작·변작,발생건수[건],건,89,66,50,83,247,311,323,경기
공인등의위조·부정사용및행사,발생건수[건],건,168,66,37,44,53,64,83,경기
사인등의위조·부정사용및행사,발생건수[건],건,41,38,29,42,50,42,36,경기
유가증권인지,발생건수[건],건,56,48,31,34,23,16,15,경기
유가증권위조·변조,발생건수[건],건,56,48,30,34,23,16,15,경기
우표(인지)등위조·변조,발생건수[건],건,0,0,1,0,0,0,0,경기
사기,발생건수[건],건,54907,53752,63210,74317,85718,74599,78368,경기
사기,발생건수[건],건,52589,51472,61464,71947,81297,67719,70500,경기
사기(상습),발생건수[건],건,508,511,116,175,230,91,99,경기
준사기,발생건수[건],건,14,20,17,23,29,29,36,경기
준사기(상습),발생건수[건],건,0,0,0,0,0,0,0,경기
컴퓨터등사용사기,발생건수[건],건,1338,996,485,630,2093,4923,5954,경기
편의시설부정이용,발생건수[건],건,15,123,229,347,625,350,342,경기
부당이득,발생건수[건],건,8,12,15,13,15,8,8,경기
부당이득(상습),발생건수[건],건,0,0,0,0,0,0,0,경기
특경법(사기),발생건수[건],건,429,369,491,533,598,508,717,경기
보험사기방지특별법위반,발생건수[건],건,6,249,393,649,831,971,712,경기
횡령,발생건수[건],건,12769,12940,14760,15208,15703,13759,15665,경기
횡령,발생건수[건],건,2885,2462,2552,2502,2649,2118,2265,경기
업무상횡령,발생건수[건],건,1251,1238,1256,1331,1318,1094,1227,경기
점유이탈물등횡령,발생건수[건],건,8493,9082,10773,11221,11546,10387,11974,경기
특경법(횡령),발생건수[건],건,140,158,179,154,190,160,199,경기
배임,발생건수[건],건,895,857,934,910,1032,735,845,경기
배임,발생건수[건],건,323,351,332,303,287,162,175,경기
업무상배임,발생건수[건],건,447,374,453,463,570,419,492,경기
배임수재,발생건수[건],건,29,35,40,40,30,24,17,경기
배임증재,발생건수[건],건,5,6,4,8,1,7,6,경기
특경법(배임),발생건수[건],건,83,82,96,87,136,113,146,경기
특경법(수재등),발생건수[건],건,2,5,6,3,3,3,2,경기
특경법(증재등),발생건수[건],건,1,0,0,0,1,1,1,경기
특경법(알선수재),발생건수[건],건,5,4,3,6,4,6,6,경기
풍속범죄,발생건수[건],건,5836,4999,5058,5111,6897,6945,7411,경기
성풍속범죄,발생건수[건],건,3288,3570,3874,3161,3984,4511,5990,경기
간통,발생건수[건],건,0,0,0,0,0,0,0,경기
혼인빙자간음,발생건수[건],건,0,0,0,0,0,0,0,경기
혼인빙자간음(위계간음),발생건수[건],건,0,0,0,0,0,0,0,경기
공연음란,발생건수[건],건,701,902,773,830,680,695,631,경기
음행매개,발생건수[건],건,0,0,0,0,0,2,0,경기
"음화등반포(판매,임대,전시,제조)",발생건수[건],건,3,5,1,4,12,2,4,경기
정보통신망이용촉진및정보보호등에관한법률(음란물유포),발생건수[건],건,579,735,816,336,398,221,154,경기
"성폭력범죄의처벌등에관한특례법(카메라등이용촬영,반포등)",발생건수[건],건,1218,1292,1401,1317,1384,1354,1398,경기
성폭력범죄의처벌등에관한특례법(통신매체이용음란),발생건수[건],건,352,365,370,325,534,1369,2807,경기
성폭력범죄의처벌등에관한특례법(성적목적다중이용장소침입),발생건수[건],건,135,113,193,186,199,156,181,경기
아동·청소년의성보호에관한법률위반(아동·청소년성착취물소지·제작·배포등),발생건수[건],건,239,91,278,128,701,460,423,경기
풍속영업의규제에관한법률,발생건수[건],건,61,67,42,35,31,24,29,경기
"성폭력범죄의처벌등에관한특례법(허위영상물편집,반포등)",발생건수[건],건,0,0,0,0,7,66,50,경기
"성폭력범죄의처벌등에관한특례법(촬영물등이용협박,강요등)",발생건수[건],건,0,0,0,0,38,162,313,경기
도박범죄,발생건수[건],건,2548,1429,1184,1950,2913,2434,1421,경기
도박,발생건수[건],건,1413,870,703,990,1200,1006,505,경기
도박(상습),발생건수[건],건,66,29,40,41,8,7,17,경기
도박개장,발생건수[건],건,74,75,68,112,258,90,133,경기
복표발매(중개·취득),발생건수[건],건,0,0,0,0,1,1,2,경기
기타도박범죄,발생건수[건],건,995,455,373,807,1446,1330,764,경기
특별경제범죄,발생건수[건],건,14626,12623,12889,12819,12364,10326,12607,경기
"신용,업무와경매에관한죄",발생건수[건],건,5881,5922,5981,5937,5682,4251,4617,경기
여신전문금융업법위반,발생건수[건],건,448,465,474,453,449,379,490,경기
대부업의등록및금융이용자보호에관한법률,발생건수[건],건,284,259,244,322,239,139,170,경기
유사수신행위의규제에관한법률,발생건수[건],건,77,59,48,74,89,58,114,경기
전자금융거래법위반,발생건수[건],건,1532,1120,1914,1850,1802,1843,2505,경기
부정수표단속법,발생건수[건],건,664,422,467,398,168,140,114,경기
조세범처벌법,발생건수[건],건,715,614,590,712,709,521,644,경기
관세법,발생건수[건],건,0,1,0,2,0,0,0,경기
외국환거래법,발생건수[건],건,14,16,15,22,12,24,30,경기
지방세법,발생건수[건],건,10,39,84,94,41,24,26,경기
저작권법,발생건수[건],건,3805,2882,2144,1816,1828,1906,2861,경기
특허법,발생건수[건],건,64,70,53,70,53,30,29,경기
상표법,발생건수[건],건,790,496,565,644,525,523,578,경기
실용신안법,발생건수[건],건,9,7,6,6,4,19,8,경기
디자인보호법,발생건수[건],건,46,61,87,98,166,70,45,경기
컴퓨터프로그램보호법,발생건수[건],건,0,0,0,0,0,0,0,경기
특가법(관세),발생건수[건],건,0,1,1,0,0,0,1,경기
특가법(국고손실),발생건수[건],건,0,1,0,0,0,0,8,경기
특가법(조세),발생건수[건],건,59,69,99,85,81,76,82,경기
특경법(무인가단기금융업),발생건수[건],건,0,0,0,0,0,0,0,경기
특경법(사금융알선등),발생건수[건],건,1,2,1,1,2,1,1,경기
특경법(재산국외도피),발생건수[건],건,0,0,0,0,0,1,0,경기
기타경제범죄,발생건수[건],건,227,117,116,235,514,321,284,경기
마약범죄,발생건수[건],건,1285,1474,1273,1813,1982,1921,2038,경기
아편·몰핀에관한죄,발생건수[건],건,0,0,1,0,0,0,0,경기
마약류관리에관한법률(대마),발생건수[건],건,126,163,125,321,212,296,267,경기
마약류관리에관한법률(마약),발생건수[건],건,176,237,287,305,437,310,446,경기
마약류관리에관한법률(향정),발생건수[건],건,968,1073,846,1170,1324,1314,1318,경기
마약류불법거래방지에관한특례법,발생건수[건],건,15,0,14,17,8,0,6,경기
특가법(마약),발생건수[건],건,0,1,0,0,1,0,0,경기
특가법(향정),발생건수[건],건,0,0,0,0,0,1,1,경기
보건범죄,발생건수[건],건,3040,2662,2606,2987,3474,3694,3439,경기
음용수에관한죄,발생건수[건],건,7,4,2,3,4,4,12,경기
공중위생관리법,발생건수[건],건,156,132,181,154,146,101,105,경기
식품위생법,발생건수[건],건,1753,1389,1187,1348,1286,725,886,경기
의료법,발생건수[건],건,493,606,733,899,797,653,458,경기
약사법,발생건수[건],건,258,200,168,192,240,162,186,경기
감염병예방법,발생건수[건],건,1,0,0,0,585,1753,1556,경기
보건범죄특조법(부정식품),발생건수[건],건,1,0,0,0,1,0,0,경기
보건범죄특조법(부정의료업자),발생건수[건],건,49,40,12,21,19,38,20,경기
보건범죄특조법(부정의약품),발생건수[건],건,4,0,0,1,3,0,2,경기
기타보건범죄,발생건수[건],건,318,291,323,369,393,258,214,경기
환경범죄,발생건수[건],건,1236,1393,1260,1428,1302,1343,1322,경기
대기환경보전법,발생건수[건],건,490,620,511,559,608,636,620,경기
토양환경보전법,발생건수[건],건,5,3,5,4,6,2,3,경기
