죄종별,항목,단위,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,행정구역
사격장안전법,발생건수[건],건,0,0,0,0,0,0,1,경기
산림법,발생건수[건],건,0,0,1,0,44,43,31,경기
생명윤리및안전에관한법률,발생건수[건],건,1,0,0,1,3,0,2,경기
석유및석유대체연료사업법,발생건수[건],건,146,140,105,130,87,42,28,경기
선박안전법,발생건수[건],건,0,0,1,0,0,0,0,경기
선박직원법,발생건수[건],건,3,0,0,0,0,0,0,경기
성매매방지및피해자보호등에관한법률위반,발생건수[건],건,1,2,8,3,2,2,0,경기
성매매알선등행위의처벌에관한법률위반(성매매),발생건수[건],건,868,671,573,401,365,599,920,경기
성매매알선등행위의처벌에관한법률위반(성매매강요등),발생건수[건],건,5,6,1,2,2,2,5,경기
성매매알선등행위의처벌에관한법률위반(성매매광고),발생건수[건],건,60,69,101,93,236,124,75,경기
성매매알선등행위의처벌에관한법률위반(성매매알선등),발생건수[건],건,1141,888,572,523,379,302,257,경기
성매매알선등행위의처벌에관한법률위반(아동·청소년),발생건수[건],건,0,0,0,0,0,0,0,경기
성매매알선등행위의처벌에관한법률위반(기타),발생건수[건],건,742,578,499,345,215,331,321,경기
성폭력범죄의처벌등에관한특례법위반(기타),발생건수[건],건,796,675,1194,1387,1910,1636,1993,경기
소방기본법,발생건수[건],건,8,9,12,7,5,11,8,경기
수도법,발생건수[건],건,49,89,55,45,53,45,23,경기
수산업법,발생건수[건],건,1,1,0,5,0,0,0,경기
신앙에관한죄,발생건수[건],건,55,63,90,54,42,47,39,경기
신용정보의이용및보호에관한법률,발생건수[건],건,8,1,1,8,8,6,3,경기
실화및업무상실화죄,발생건수[건],건,542,689,604,668,711,595,702,경기
스토킹처벌법,발생건수[건],건,0,0,0,0,0,230,2577,경기
아동·청소년의성보호에관한법률위반(강요행위등),발생건수[건],건,17,12,16,10,15,14,15,경기
아동·청소년의성보호에관한법률위반(매매),발생건수[건],건,2,3,2,2,3,0,1,경기
아동·청소년의성보호에관한법률위반(성매수등),발생건수[건],건,57,115,48,39,44,61,59,경기
아동·청소년의성보호에관한법률위반(알선영업행위등),발생건수[건],건,20,35,11,19,9,14,9,경기
아동·청소년의성보호에관한법률위반(기타),발생건수[건],건,121,90,114,80,154,97,140,경기
아동복지법위반(무아동복지시설의의무위반 등),발생건수[건],건,0,0,0,0,0,1,0,경기
아동복지법위반(유기·학대 등),발생건수[건],건,461,539,497,690,756,1816,1757,경기
아동복지법위반(기타),발생건수[건],건,440,471,684,990,980,2089,2046,경기
아동학대처벌법위반(비밀유지의무위반 등),발생건수[건],건,0,0,0,0,1,0,0,경기
아동학대처벌법위반(아동복지시설 종사자 등의 아동학대 가중처벌),발생건수[건],건,10,11,7,11,18,89,185,경기
아동학대처벌법위반(업무수행 방해 등),발생건수[건],건,0,0,0,0,0,2,1,경기
아동학대처벌법위반(유기·학대 등),발생건수[건],건,7,4,1,8,9,6,5,경기
아동학대처벌법위반(처분 불이행 등),발생건수[건],건,4,4,7,13,12,29,42,경기
아동학대처벌법위반(피해자 등에 대한 강요행위),발생건수[건],건,0,0,0,0,0,0,0,경기
아동학대처벌법위반(기타),발생건수[건],건,13,17,9,12,18,10,32,경기
액화석유가스의안전및사업관리법,발생건수[건],건,12,23,16,19,22,29,33,경기
양곡관리법,발생건수[건],건,1,1,1,2,0,0,0,경기
여객자동차운수사업법,발생건수[건],건,417,645,149,364,408,189,130,경기
여권법,발생건수[건],건,14,2,2,6,8,2,2,경기
영해및접속수역법,발생건수[건],건,0,0,0,0,0,0,0,경기
영화및비디오물의진흥에관한법률,발생건수[건],건,3,1,2,7,3,1,0,경기
옥외광고물법위반,발생건수[건],건,441,398,157,57,34,53,34,경기
위증죄,발생건수[건],건,411,381,405,326,318,260,275,경기
위치정보의보호및이용등에관한법률,발생건수[건],건,25,32,24,32,34,51,54,경기
유기와학대의죄,발생건수[건],건,15,26,20,19,21,9,15,경기
유선및도선사업법,발생건수[건],건,1,0,0,4,1,0,1,경기
음반·비디오물및게임물에관한법률,발생건수[건],건,0,0,0,0,0,0,0,경기
음악산업진흥에관한법률,발생건수[건],건,1843,1768,1535,1573,1054,1203,1166,경기
인질강요·살해·상해,발생건수[건],건,0,0,1,0,0,0,0,경기
