LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34
27,상승10,㈜마이리얼트립,관심기업,,,,스크랩,[재택근무 365일/ 정규직 전환 가능] MRTCX 고객지원매니저,인바운드상담원,아웃바운드상담원,여행에이전트,,신입·경력,학력무관,서울,계약직,즉시지원,~06/07(금),,,,,,,,,,,,,,,
28,상승10,일양㈜,관심기업,,,,스크랩,기본급 350만(차등지급) 부동산 직원 모집 - 주5일 오전10시-오후3시,인바운드상담원,아웃바운드상담원,고객센터관리자,경영·비즈니스기획 외,신입·경력,학력무관,"서울, 경기, 전국","계약직, 프리랜서",즉시지원,채용 시 마감,~05/31(금),,,,,,,,,,,,,,
29,상승1,㈜씨트립코리아,관심기업,,,,스크랩,[Trip.com] 트립닷컴 CS 채용,인바운드상담원,아웃바운드상담원,고객센터관리자,사무보조 외,경력무관,학력무관,서울,계약직,즉시지원,~05/31(금),,,,,,,,,,,,,,,
30,NEWNEW,㈜포터블뉴트리션,관심기업,,,,스크랩,온라인 쇼핑몰 운영지원 / 온라인 기획 / 영상콘텐츠 마케팅 / 웹디자인 부문별 모집 신입-경력,인바운드상담원,퍼포먼스마케터,온라인마케터,채널관리자 외,신입·경력,고졸↑,"서울, 경기",정규직,즉시지원,상시채용,,,,,,,,,,,,,,,
31,상승1,글램비글램핑,관심기업,,,,스크랩,"㈜글램비글램핑 [캠핑장, 캠핑식당, 애견카페] 각 직군별 관리자/직원/알바채용",인바운드상담원,회계담당자,조리사,설치·수리기사 외,신입·경력,학력무관,"경기, 인천","정규직, 아르바이트",즉시지원,상시채용,,,,,,,,,,,,,,,
32,NEWNEW,외향산업㈜,관심기업,,,,스크랩,[CS센터 단순응대] 단일업무/영업없음/정착지원금,인바운드상담원,아웃바운드상담원,은행원·텔러,,경력무관,고졸↑,서울,정규직,즉시지원,내일마감,,,,,,,,,,,,,,,
33,상승2,㈜와우바이오텍,관심기업,,,,스크랩,건기식 마케팅/디자인/상품기획/자사몰/CS/영상,인바운드상담원,경영·비즈니스기획,웹기획,마케팅기획 외,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,~05/31(금),,,,,,,,,,,,,,,
34,하락5,㈜소노인터내셔널,관심기업,1000대기업,545 위,1000대기업 순위 닫기,스크랩,[대명소노그룹] 각 부문별 신입/경력 인재 채용,인바운드상담원,고객센터관리자,사무담당자,회계담당자 외,신입·경력,대졸↑,"서울, 전국",정규직,,~05/22(수),,공고마감,,,,,,,,,,,,,
35,상승1,아이헤이트플라잉버그스㈜,관심기업,,,,스크랩,2024년 상반기 영어/수학 교육 분야 채용,인바운드상담원,아웃바운드상담원,고객센터관리자,사무담당자 외,신입·경력,대졸↑,"서울, 경기, 인천",정규직,즉시지원,~05/28(화),,,,,,,,,,,,,,,
36,상승6,㈜토인스월드,관심기업,,,,스크랩,(대전)사무직총무직원모집(신입 및 경력자),인바운드상담원,금융사무,총무,사무보조 외,신입·경력,고졸↑,대전,정규직,즉시지원,~05/29(수),,,,,,,,,,,,,,,
37,상승18,점포라인,관심기업,,,,스크랩,부동산온라인 중개업 [주간수당.출근 없는 자유업/교육기간3개월]신입경력 직원모집,인바운드상담원,아웃바운드상담원,제품영업,서비스영업 외,경력무관,고졸↑,"서울, 경기",위촉직/개인사업자,즉시지원,~07/19(금),,,,,,,,,,,,,,,
38,상승1,㈜뷰티피플인터내셔널,관심기업,,,,스크랩,[코스메틱 브랜드 뷰티피플] 웹디자인팀/상품개발팀/해외영업팀/고객지원팀/마케팅팀/제품디자인팀/온라인팀 채용,인바운드상담원,아웃바운드상담원,고객센터관리자,경영·비즈니스기획 외,신입·경력,학력무관,서울,정규직,즉시지원,~05/31(금),,,,,,,,,,,,,,,
39,하락5,현대엘리베이터서비스㈜,관심기업,,,,스크랩,현대엘리베이터서비스주식회사 각 부문별 신입/경력 채용,인바운드상담원,경영지원,사무담당자,제품영업 외,신입·경력,고졸↑,"서울, 경기, 인천 외",계약직,즉시지원,상시채용,,,,,,,,,,,,,,,
40,상승5,㈜인투에듀,관심기업,,,,스크랩,"교육영업, 답이 좀 됐으려나  월오백이 기본",인바운드상담원,제품영업,서비스영업,금융영업 외,신입·경력,초대졸↑,"서울, 경기, 인천 외",위촉직/개인사업자,즉시지원,~05/31(금),,,,,,,,,,,,,,,
41,하락1,㈜세스코,관심기업,,,,스크랩,(주)세스코 2024년 3회차 전문영업직 신입 대규모 채용,인바운드상담원,경영·비즈니스기획,사무보조,제품영업 외,신입,대졸↑,"서울, 경기, 인천 외",정규직,홈페이지 지원,~06/02(일),,,,,,,,,,,,,,,
42,상승5,㈜타요타,관심기업,,,,스크랩,(주)타요타 신입/경력 정규직 채용,인바운드상담원,사무담당자,영업지원,사무보조 외,경력무관,학력무관,"서울, 경기, 인천",정규직,즉시지원,~06/19(수),,,,,,,,,,,,,,,
43,상승29,㈜GNA,관심기업,,,,스크랩,"[2차 추가모집] 자동차/인바운드 신입지원금 총 600 및 인센별도, DB제공 각종상여 모두지원",인바운드상담원,아웃바운드상담원,고객센터관리자,경영·비즈니스기획 외,신입·경력,학력무관,"서울, 경기, 인천","정규직, 프리랜서",즉시지원,상시채용,,,,,,,,,,,,,,,
44,상승21,㈜헤어플러스,관심기업,,,,스크랩,"[헤어플러스] 영업, MD, 운영CS팀 채용",인바운드상담원,아웃바운드상담원,해외영업,영업관리 외,신입·경력,학력무관,서울,정규직,즉시지원,~05/27(월),,,,,,,,,,,,,,,
45,상승5,㈜더퍼스트터치,관심기업,,,,스크랩,2024년 상반기 공개채용(온라인MD/SCM/CRM),인바운드상담원,아웃바운드상담원,고객센터관리자,MD 외,신입·경력,초대졸↑,서울,정규직,즉시지원,~06/15(토),,,,,,,,,,,,,,,
