LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34,LABEL-35,LABEL-36,LABEL-37,LABEL-38
11,,㈜아이엠비씨,관심기업,스크랩,(주)아이엠비씨 직원 채용 공고,프론트엔드개발자,웹개발자,앱개발자,사무담당자 외,신입·경력,초대졸↑,서울,"정규직, 계약직",홈페이지 지원,~05/12(일),하락2,,,,,,,,,,,,,,,,,,,,,
12,유지,케이지모빌리티㈜,관심기업,스크랩,2024년 KG모빌리티(주) 경력직 및 촉탁직 공개 채용,백엔드개발자,시스템엔지니어,네트워크엔지니어,보안엔지니어 외,신입·경력,대졸↑,"서울, 경기",정규직,홈페이지 지원,~05/13(월),,1000대기업,95 위,1000대기업 순위 닫기,,,,,,,,,,,,,,,,,,
13,,기계설비건설공제조합,관심기업,스크랩,2024년도 신입직원 채용,시스템엔지니어,사무담당자,회계담당자,재무담당자 외,신입,학력무관,서울,정규직,홈페이지 지원,~05/10(금),상승11,,,,,,,,,,,,,,,,,,,,,
14,유지,㈜슈피겐코리아,관심기업,스크랩,슈피겐코리아 경력 및 채용연계형 인턴 공개채용,웹개발자,보안엔지니어,회계담당자,감사 외,인턴·신입·경력,대졸↑,"서울, 인천","정규직, 인턴",즉시지원,내일마감,,,,,,,,,,,,,,,,,,,,,,
15,,캐논쎄미콘덕터엔지니어링코리아㈜,관심기업,스크랩,2024년 부문별 신입/경력사원모집,보안엔지니어,소프트웨어개발자,하드웨어개발자,설계엔지니어 외,신입·경력,학력무관,"서울, 경기, 충남",정규직,홈페이지 지원,~05/15(수),상승3,,,,,,,,,,,,,,,,,,,,,
16,,한국전자기술연구원,관심기업,스크랩,2024년 1차 정규직 공개채용,시스템엔지니어,네트워크엔지니어,소프트웨어개발자,머신러닝엔지니어 외,신입·경력,대졸↑,"경기, 충북, 광주 외",정규직,홈페이지 지원,~05/08(수),상승7,,,,,,,,,,,,,,,,,,,,,
17,유지,㈜마크로젠,관심기업,스크랩,㈜마크로젠 각 부문 신입/경력 직원 채용,백엔드개발자,프론트엔드개발자,웹개발자,시스템엔지니어 외,인턴·신입·경력,학력무관,"서울, 대전, 세종","정규직, 인턴",즉시지원,~05/19(일),,우수기업,,우수기업 설명 닫기,,,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",,,,,,,,,,,,,,
18,,㈜이랜드이노플,관심기업,스크랩,이랜드이노플 2024 채용연계형 인턴 채용,백엔드개발자,프론트엔드개발자,시스템엔지니어,네트워크엔지니어 외,인턴·신입·경력,대졸↑,서울,인턴,홈페이지 지원,내일마감,상승4,,,,이랜드그룹,,,,,,,,,,,,,,,,,
19,,HL Klemove,관심기업,스크랩,"2024 상반기 2차 수시채용 (R&D, 영업기획, SMT, 시설관리)",시스템엔지니어,소프트웨어개발자,하드웨어개발자,영업지원 외,신입·경력,대졸↑,"경기, 인천",정규직,홈페이지 지원,~05/12(일),상승1,,,,한라그룹,,,,1000대기업,915 위,1000대기업 순위 닫기,,,,,,,,,,,
20,,㈜영신디엔씨,관심기업,스크랩,2024 상반기 각 분야 신입/경력 채용,백엔드개발자,데이터사이언티스트,소프트웨어개발자,머신러닝엔지니어 외,신입·경력,초대졸↑,"서울, 경기, 인천 외","정규직, 계약직",즉시지원,~05/15(수),상승9,,,,,,,,,,,,,,,,,,,,,
